state_code,state_name,district_name,dist_code,court_no,court_name
2,Andhra Pradesh,Chittoor,3,5,ADDITIONAL DISTRICT JUDGE
2,Andhra Pradesh,Chittoor,3,19,II Additional District Court
2,Andhra Pradesh,East Godavari,4,1,Prl. District Court
2,Andhra Pradesh,East Godavari,4,3,III Addl. District And Sessions Court
2,Andhra Pradesh,East Godavari,4,6,II Addl. Dist. and Sessions Court
2,Andhra Pradesh,East Godavari,4,22,XII Addl. District and Sessions Judges
2,Andhra Pradesh,East Godavari,4,34,VII ADDL. DISTRICT AND SESSIONS COURT
2,Andhra Pradesh,Guntur,5,1,District Court
2,Andhra Pradesh,Guntur,5,17,DISTRICT COURT TENALI
2,Andhra Pradesh,Guntur,5,23,Addl District Judges Court
2,Andhra Pradesh,Guntur,5,32,X ADDL. DISTRICT COURT
2,Andhra Pradesh,Kadapa,7,1,District and Sessions Courts
2,Andhra Pradesh,Kadapa,7,14,V Additional District Judge Court
2,Andhra Pradesh,Kadapa,7,15,II Additional District  Court
2,Andhra Pradesh,Kadapa,7,27,III Additional District Judge Court
2,Andhra Pradesh,Kurnool,10,1,Prl.District and Sessions Court
2,Andhra Pradesh,Kurnool,10,6,II ADDITIONAL DISTRICT JUDGE
2,Andhra Pradesh,Kurnool,10,15,III Addl.District Court Complex
2,Andhra Pradesh,Kurnool,10,30,V Addl.District Court Complex
2,Andhra Pradesh,Krishna,11,1,II Additional District Judge
2,Andhra Pradesh,Krishna,11,6,Prl. District Court
2,Andhra Pradesh,Krishna,11,19,XI Addl District Court
2,Andhra Pradesh,Krishna,11,23,XV ADDITIONAL DISTRICT AND SESSIONS COURT
2,Andhra Pradesh,Nellore,15,1,District and Sessions Courts
2,Andhra Pradesh,Nellore,15,10,VII Addl. District and Session Court
2,Andhra Pradesh,Prakasham,17,1,PRL. DISTRICT JUDGE COURT
2,Andhra Pradesh,Prakasham,17,22,VI Addl District and Sessions Court
2,Andhra Pradesh,Srikakulam,19,1,Prl. District Court
2,Andhra Pradesh,Srikakulam,19,13,VI Addl.District and Sessions Judge Court
2,Andhra Pradesh,Visakapatnam,20,1,PRINCIPAL DISTRICT  AND SESSIONS JUDGE
2,Andhra Pradesh,Visakapatnam,20,6,X Addl District and Session Judges Court
2,Andhra Pradesh,Visakapatnam,20,10,XIII ADDITIONAL DISTRICT JUDGE COURT AT
2,Andhra Pradesh,Visakapatnam,20,24,Additional District Court
2,Andhra Pradesh,Vizianagaram,21,1,PRINCIPAL DISTRICT JUDGE COURT
