state_code,dist_code,court_no,num_cases,A_count,B_count,C_count,D_count,E_count
3,15,13,2512,2127,259,86,40,0
3,15,18,1764,1297,397,51,19,0
3,16,1,14555,12979,1184,217,175,0
3,16,7,2399,1050,1118,193,38,0
3,17,1,274,116,152,6,0,0
3,18,1,30431,24476,5119,692,144,0
3,18,22,3634,2632,868,111,23,0
3,18,23,1954,1514,344,77,19,0
3,19,1,16126,12372,2827,754,173,0
3,20,2,293816,205438,72131,14073,2174,0
3,20,3,113584,79957,26511,6388,727,1
3,20,7,14712,11353,2427,805,127,0
3,20,8,58406,39940,15902,2496,68,0
3,21,1,22136,17502,3058,1216,360,0
3,21,5,2296,1802,425,56,12,1
3,21,13,3964,3484,369,107,4,0
3,21,14,32759,25821,6014,761,163,0
3,21,18,3843,2987,757,92,7,0
3,22,1,28109,25044,2562,439,64,0
3,22,18,5761,4778,800,168,15,0
3,23,1,37359,29580,6692,982,105,0
3,24,9,3111,2340,642,109,20,0
3,24,17,19011,14436,3535,793,247,0
3,25,1,4097,3736,350,8,3,0
3,25,8,273,95,118,38,22,0
3,26,3,38473,29700,6984,1625,164,0
3,27,1,9602,7429,1589,489,95,0
3,27,8,1812,1236,282,233,61,0
3,28,1,12620,10896,1128,438,158,0
3,28,7,1793,1475,211,77,30,0
3,29,1,13394,11056,1897,374,67,0
3,29,7,1595,1118,357,107,13,0
3,30,1,7954,7144,608,166,36,0
4,1,1,9675,5494,3480,656,45,0
4,1,4,6180,3679,1714,634,153,0
4,2,1,46441,39641,5603,1038,159,0
4,2,4,2979,1686,809,330,154,0
4,2,5,28530,14064,11126,3102,238,0
4,2,32,3158,972,1861,261,64,0
4,2,38,3003,694,1584,479,246,0
4,2,47,462,149,287,25,1,0
4,2,52,1221,637,546,31,7,0
4,3,1,19035,9379,5432,2439,1785,0
4,3,4,9305,7228,1614,405,58,0
4,3,5,16561,14937,1506,106,12,0
4,4,1,34469,23067,6929,2986,1487,0
4,4,4,3742,2604,894,198,46,0
4,4,10,6489,2103,3577,676,133,0
4,5,1,22556,15018,6424,732,382,0
4,5,11,4026,2970,839,176,41,0
4,5,12,1108,299,694,108,7,0
4,5,24,2759,1459,1152,124,24,0
4,5,38,418,49,318,50,1,0
4,6,1,14221,7304,4214,1541,1162,0
4,6,5,5103,3850,1072,144,36,1
4,6,21,3836,800,1848,904,284,0
4,7,1,11247,7149,3654,410,34,0
4,7,5,6461,4365,1936,143,17,0
4,8,1,19014,7055,8310,3165,484,0
4,8,4,5531,2199,2767,488,77,0
4,8,17,5849,1658,3637,534,20,0
4,9,1,28969,18819,7001,2361,788,0
4,9,4,4342,2757,1306,193,86,0
4,9,5,1679,390,444,293,552,0
4,9,22,867,212,309,236,110,0
4,10,1,21490,13453,6080,1576,381,0
4,10,7,3867,2575,1204,64,24,0
4,10,19,9598,3029,6249,297,23,0
4,11,1,25175,16810,5785,2272,308,0
4,11,6,4304,2181,1867,217,39,0
4,12,1,11910,6654,3625,1199,432,0
4,12,4,3190,1949,976,219,46,0
4,15,4,7845,5077,2607,154,7,0
4,15,14,24555,14701,7851,1620,383,0
4,15,19,29896,21197,6359,2006,334,0
4,15,21,1919,732,1034,142,11,0
4,16,1,8154,4993,2756,369,36,0
4,16,2,16008,12077,3128,667,136,0
5,1,1,8628,6206,1986,434,2,0
5,1,4,8544,6473,1831,235,5,0
5,1,6,462,198,114,71,79,0
5,2,1,13700,9515,3081,905,199,0
5,2,4,1915,1067,618,180,50,0
5,2,8,9088,7542,1297,234,15,0
5,2,12,2681,1881,652,147,1,0
5,2,14,4360,3358,869,126,7,0
5,2,16,1408,763,372,128,145,0
5,4,1,10294,8156,1810,300,28,0
5,4,2,4054,2723,1081,221,29,0
5,4,3,13459,10734,1945,421,359,0
5,5,1,8439,6673,1545,213,8,0
5,5,5,3671,2450,905,265,51,0
5,5,7,15835,12705,2393,570,167,0
5,5,8,2257,1585,583,86,3,0
5,5,11,2183,1532,511,136,4,0
5,5,12,5041,4163,764,109,5,0
5,6,2,2546,1602,810,131,3,0
5,6,4,2080,1379,641,59,1,0
5,6,5,1652,1157,450,45,0,0
5,6,7,3918,2462,1186,248,22,0
5,6,9,1961,1453,407,94,7,0
5,6,17,9625,7636,1527,392,70,0
5,6,19,7334,4678,1958,561,137,0
5,7,1,5486,4682,749,52,3,0
5,7,2,1017,740,232,40,5,0
5,8,1,6340,5097,1159,83,1,0
5,8,4,9294,7713,1355,222,4,0
5,9,2,4262,3299,772,141,50,0
5,9,4,4132,2996,1038,94,4,0
5,9,6,1036,551,340,114,31,0
