,state_code,year,dist_code,total_judge_days,avg_judge_count
0,3,2010,3,3423,9.378082191780821
1,3,2010,4,5458,14.953424657534246
2,3,2010,1,2671,7.317808219178082
3,3,2010,2,1316,3.6054794520547944
4,3,2010,20,10232,28.03287671232877
5,3,2010,21,2180,5.972602739726027
6,3,2010,12,4491,12.304109589041095
7,3,2010,5,2962,8.115068493150686
8,3,2010,27,1382,3.786301369863014
9,3,2010,29,2259,6.189041095890411
10,3,2010,17,4195,11.493150684931507
11,3,2010,13,8018,21.96712328767123
12,3,2010,24,365,1.0
13,3,2010,14,4919,13.476712328767123
14,3,2010,9,181,0.4958904109589041
15,3,2010,8,4012,10.991780821917809
16,3,2010,23,8915,24.424657534246574
17,3,2010,11,6362,17.43013698630137
18,3,2010,25,2045,5.602739726027397
19,3,2010,19,2214,6.065753424657534
20,3,2010,7,1086,2.9753424657534246
21,3,2010,22,8077,22.12876712328767
22,3,2010,26,663,1.8164383561643835
23,3,2010,6,3719,10.189041095890412
24,3,2010,28,1895,5.191780821917808
25,3,2010,15,7938,21.747945205479454
26,3,2010,18,7793,21.350684931506848
27,3,2010,16,282,0.7726027397260274
28,3,2010,10,1617,4.4301369863013695
29,3,2010,30,1094,2.9972602739726026
30,3,2011,3,4090,11.205479452054794
31,3,2011,4,6096,16.7013698630137
32,3,2011,1,4643,12.72054794520548
33,3,2011,2,3729,10.216438356164383
34,3,2011,20,13797,37.8
35,3,2011,21,2533,6.93972602739726
36,3,2011,12,6139,16.81917808219178
37,3,2011,5,4028,11.035616438356165
38,3,2011,27,1460,4.0
39,3,2011,29,3661,10.03013698630137
40,3,2011,17,6329,17.339726027397262
41,3,2011,13,7785,21.328767123287673
42,3,2011,24,575,1.5753424657534247
43,3,2011,14,5837,15.991780821917809
44,3,2011,9,583,1.5972602739726027
45,3,2011,8,3990,10.931506849315069
46,3,2011,23,9445,25.876712328767123
47,3,2011,11,6538,17.912328767123288
48,3,2011,25,2412,6.608219178082192
49,3,2011,19,4270,11.698630136986301
50,3,2011,7,1095,3.0
51,3,2011,22,9132,25.019178082191782
52,3,2011,26,1785,4.890410958904109
53,3,2011,6,4368,11.967123287671233
54,3,2011,28,2729,7.476712328767123
55,3,2011,15,9753,26.720547945205478
56,3,2011,18,8312,22.77260273972603
57,3,2011,16,947,2.5945205479452054
58,3,2011,10,2950,8.082191780821917
59,3,2011,30,1519,4.161643835616438
60,3,2012,3,4626,12.673972602739726
61,3,2012,4,6771,18.55068493150685
62,3,2012,1,11667,31.964383561643835
63,3,2012,2,6673,18.28219178082192
64,3,2012,20,25993,71.21369863013699
65,3,2012,21,4937,13.526027397260274
66,3,2012,12,7723,21.15890410958904
67,3,2012,5,5174,14.175342465753424
68,3,2012,27,2157,5.909589041095891
69,3,2012,29,4235,11.602739726027398
70,3,2012,17,7045,19.301369863013697
71,3,2012,13,7379,20.216438356164385
72,3,2012,24,2068,5.6657534246575345
73,3,2012,14,5886,16.126027397260273
74,3,2012,9,730,2.0
75,3,2012,8,3885,10.643835616438356
76,3,2012,23,9465,25.931506849315067
77,3,2012,11,6823,18.693150684931506
78,3,2012,25,3211,8.797260273972602
79,3,2012,19,6690,18.328767123287673
80,3,2012,7,1290,3.5342465753424657
81,3,2012,22,10526,28.838356164383562
82,3,2012,26,5003,13.706849315068494
83,3,2012,6,4642,12.717808219178082
84,3,2012,28,4756,13.03013698630137
85,3,2012,15,10834,29.682191780821917
86,3,2012,18,8824,24.175342465753424
87,3,2012,16,1781,4.879452054794521
88,3,2012,10,4285,11.73972602739726
89,3,2012,30,1867,5.115068493150685
90,3,2013,3,5496,15.057534246575342
91,3,2013,4,7002,19.183561643835617
92,3,2013,1,17446,47.797260273972604
93,3,2013,2,7764,21.27123287671233
94,3,2013,20,36073,98.83013698630137
95,3,2013,21,8179,22.40821917808219
96,3,2013,12,9142,25.046575342465754
97,3,2013,5,5239,14.353424657534246
98,3,2013,27,3311,9.07123287671233
99,3,2013,29,4944,13.545205479452054
100,3,2013,17,7225,19.794520547945204
101,3,2013,13,6658,18.24109589041096
102,3,2013,24,3780,10.356164383561644
103,3,2013,14,6330,17.34246575342466
104,3,2013,9,3896,10.673972602739726
105,3,2013,8,4010,10.986301369863014
106,3,2013,23,9700,26.575342465753426
107,3,2013,11,6883,18.85753424657534
108,3,2013,25,3668,10.04931506849315
109,3,2013,19,7772,21.293150684931508
110,3,2013,7,2256,6.1808219178082195
111,3,2013,22,10439,28.6
112,3,2013,26,9243,25.323287671232876
113,3,2013,6,4749,13.01095890410959
114,3,2013,28,5660,15.506849315068493
115,3,2013,15,10508,28.78904109589041
116,3,2013,18,9775,26.78082191780822
117,3,2013,16,3501,9.591780821917808
118,3,2013,10,6701,18.35890410958904
119,3,2013,30,1631,4.468493150684932
120,3,2014,3,6452,17.676712328767124
121,3,2014,4,10654,29.18904109589041
122,3,2014,1,18397,50.4027397260274
123,3,2014,2,8247,22.594520547945205
124,3,2014,20,43054,117.95616438356164
125,3,2014,21,10039,27.504109589041096
126,3,2014,12,9124,24.997260273972604
127,3,2014,5,5341,14.632876712328768
128,3,2014,27,3636,9.961643835616439
129,3,2014,29,6326,17.33150684931507
130,3,2014,17,7972,21.84109589041096
131,3,2014,13,7833,21.46027397260274
132,3,2014,24,10774,29.517808219178082
133,3,2014,14,6811,18.660273972602738
134,3,2014,9,8887,24.34794520547945
135,3,2014,8,4226,11.578082191780823
136,3,2014,23,10446,28.61917808219178
137,3,2014,11,7174,19.654794520547945
138,3,2014,25,3949,10.819178082191781
