year,state_code,dist_code,court_no,mean_days,median_days
2010,3,7,1,51.30827067669173,11.0
2010,3,8,1,93.15704697986577,68.0
2010,3,9,1,530.25,429.5
2010,3,10,1,75.85,55.0
2010,3,11,1,232.93333333333334,230.0
2010,3,12,1,38.1241134751773,15.0
2010,3,13,1,173.69026548672565,142.0
2010,3,14,1,158.13306451612902,72.5
2010,3,15,1,279.49152542372883,111.0
2010,3,16,1,34.26655052264808,11.0
2010,3,18,1,86.72633552014996,43.0
2010,3,19,1,157.7057142857143,77.0
2010,3,21,1,341.1330275229358,323.0
2010,3,22,1,224.73333333333332,281.0
2010,3,23,1,115.98333333333333,66.0
2010,3,24,17,42.827338129496404,5.0
2010,3,26,3,134.2962962962963,79.0
2010,3,28,1,162.02857142857144,143.0
2010,3,29,1,395.3960396039604,396.0
2010,3,30,1,181.0,56.0
2010,3,27,1,548.7727272727273,305.0
2010,3,20,3,3210.8,3203.0
2010,3,11,13,922.5094339622641,876.0
2010,3,12,16,1304.0,1304.0
2010,3,18,22,387.5,30.5
2010,3,18,23,1675.6923076923076,1812.0
2010,3,21,5,1242.8,1072.5
2010,3,24,9,1424.590909090909,1618.0
2010,3,25,8,1992.4,1965.0
2010,3,29,7,1296.578947368421,1264.0
2010,3,15,13,1183.5714285714287,976.0
2010,3,15,18,2540.0,2540.0
2010,3,28,7,1074.6666666666667,1014.0
2010,3,21,14,897.0,750.0
2010,3,20,2,1053.0,895.5
2010,3,20,8,1364.6,1352.0
2010,4,1,1,154.14765906362544,61.0
2010,4,2,1,21.511163337250295,3.0
2010,4,3,1,381.3534328358209,225.0
2010,4,4,1,84.90853853533739,9.0
2010,4,5,1,170.60729386892177,120.0
2010,4,6,1,113.0712788259958,38.0
2010,4,7,1,45.1879468845761,32.0
2010,4,8,1,191.3552472858866,95.0
2010,4,9,1,201.6304207119741,36.0
2010,4,10,1,64.69788519637463,44.0
2010,4,11,1,74.24553890078515,70.0
2010,4,12,1,5.895104895104895,2.0
2010,4,16,1,61.13513513513514,59.0
2010,4,15,19,135.03271028037383,72.5
2010,4,2,32,914.7636363636364,915.5
2010,4,2,38,1011.2037037037037,1089.0
2010,4,2,52,1253.0,1253.0
2010,4,4,10,1855.6818181818182,2237.5
2010,4,5,12,556.6666666666666,479.0
2010,4,5,24,1485.0,1482.0
2010,4,6,21,29.08823529411765,3.5
2010,4,8,17,844.9437751004016,869.0
2010,4,9,22,1315.1515151515152,1275.0
2010,4,10,19,93.22340425531915,95.0
2010,4,1,4,61.570303712035994,67.0
2010,4,2,4,445.36787564766837,252.0
2010,4,3,4,445.7810218978102,539.0
2010,4,4,4,149.28155339805826,79.0
2010,4,5,11,120.21428571428571,31.0
2010,4,6,5,119.53709198813057,92.0
2010,4,7,5,49.33076923076923,43.0
2010,4,8,4,236.9601593625498,233.0
2010,4,9,4,2407.8333333333335,2341.0
2010,4,10,7,119.60509554140127,86.0
2010,4,11,6,97.74763406940063,67.0
2010,4,12,4,44.32669322709163,31.0
2010,4,15,4,174.88552915766738,138.0
2010,4,15,14,648.2578947368421,113.0
2010,4,16,2,85.92621359223301,68.0
2010,4,2,5,144.1140667267809,117.0
2010,4,3,5,674.3703703703703,619.0
2010,4,9,5,2425.8440366972477,2399.0
2010,5,2,1,1425.4905660377358,1577.0
2010,5,4,1,789.1190476190476,700.0
2010,5,5,1,393.0,393.0
2010,5,5,11,358.0,358.0
2010,5,6,17,562.0681818181819,196.0
2010,5,7,1,1817.0,1817.0
2010,5,9,2,1561.5,1520.0
2010,5,10,1,590.1,593.5
2010,5,11,9,1740.6666666666667,1700.0
2010,5,11,10,2693.2758620689656,2506.0
2010,5,7,2,1617.5,1617.5
2010,5,1,4,1714.6666666666667,1679.0
2010,5,2,8,810.2142857142857,717.5
2010,5,4,2,1227.3333333333333,774.0
2010,5,4,3,822.5952380952381,736.0
2010,5,5,5,1190.8333333333333,965.5
2010,5,5,7,901.8552631578947,761.0
2010,5,5,8,1997.0,1997.0
2010,5,5,12,1307.0,770.0
2010,5,6,2,1214.5,1214.5
2010,5,6,4,477.0,477.0
2010,5,6,19,521.6666666666666,242.0
2010,5,8,4,2326.0,2326.0
2010,5,9,4,448.0,448.0
2010,5,9,6,1250.3333333333333,1010.0
2010,5,9,8,1649.0,1649.0
2010,5,10,3,605.4107142857143,628.0
2010,5,11,11,2571.238993710692,2592.0
2010,5,10,2,571.6888888888889,546.0
2010,5,1,6,2542.535714285714,2545.0
2010,5,2,4,1743.6,1763.0
2010,5,2,14,1286.0,1286.0
2010,5,2,16,2684.4666666666667,2669.0
2010,5,11,1,1433.5,1433.5
2010,6,2,2,525.2647058823529,469.5
2010,6,3,2,463.40909090909093,277.0
2010,6,4,2,339.06962025316454,324.0
2010,6,5,2,488.84444444444443,455.0
