,year,state_code,dist_code,court_no,mean_days,median_days
121,2015,9,6,25,1235.0,1235.0
122,2015,17,35,1,17.031368821292777,5.0
123,2015,10,9,5,11.483850671140939,3.0
124,2015,10,7,7,38.0235722964763,3.0
125,2015,9,7,48,1183.962962962963,1162.5
126,2015,17,36,1,10.428155339805825,9.0
127,2015,9,28,22,1158.68,1152.0
128,2015,21,1,3,1.0,1.0
129,2015,17,13,18,19.41470588235294,13.0
130,2015,10,8,9,16.131404802420118,3.0
131,2015,1,13,13,24.34423676012461,11.0
132,2015,17,29,18,112.56585365853658,106.0
133,2015,10,15,3,26.546153846153846,12.0
134,2015,10,1,20,848.7380952380952,878.0
135,2015,10,32,5,66.24460431654676,33.0
136,2015,9,2,12,289.8894472361809,104.0
137,2015,20,11,8,1134.0,1134.0
138,2015,10,12,24,92.31475409836065,54.0
139,2015,9,31,17,1590.6153846153845,1648.0
140,2015,9,31,17,1590.6153846153845,1648.0
141,2015,10,14,18,391.885,69.0
142,2015,15,9,13,1343.0,1343.0
143,2015,21,7,1,1569.2,1541.0
144,2015,10,3,21,777.0121212121212,853.0
145,2015,20,9,7,1260.7333333333333,1287.0
146,2015,10,12,18,41.77669902912621,32.0
147,2015,10,12,26,94.14516129032258,36.0
148,2015,10,12,26,94.14516129032258,36.0
149,2015,10,27,22,1251.0361445783133,1259.0
150,2016,9,6,25,800.2,803.0
151,2016,17,35,1,20.27112970711297,6.0
152,2016,10,9,5,11.129714148450637,4.0
153,2016,10,7,7,38.26310043668122,4.0
154,2016,9,7,48,825.8,822.0
155,2016,17,36,1,10.59884281581485,5.0
156,2016,9,28,22,784.34,787.0
157,2016,9,11,26,741.0,741.0
158,2016,17,13,18,22.841166936790923,10.0
159,2016,9,5,28,738.0,682.0
160,2016,10,8,9,21.521463414634145,4.0
161,2016,1,13,13,11.641666666666667,3.0
162,2016,17,29,18,18.666666666666668,7.0
163,2016,10,15,3,7.952420701168615,3.0
164,2016,10,1,20,434.982905982906,415.0
165,2016,10,32,5,51.48986486486486,32.0
166,2016,9,2,12,273.3897435897436,271.0
167,2016,10,12,24,48.742990654205606,34.0
168,2016,9,31,17,1331.4166666666667,1342.5
169,2016,9,31,17,1331.4166666666667,1342.5
170,2016,10,14,18,101.28484848484848,31.0
171,2016,15,9,13,997.0,997.0
172,2016,10,3,21,445.1666666666667,604.5
173,2016,20,9,7,892.1388888888889,956.5
174,2016,10,12,18,42.68691588785047,32.0
175,2016,10,12,26,85.85892116182572,33.0
176,2016,10,12,26,85.85892116182572,33.0
177,2016,10,27,22,906.2340425531914,889.5
178,2017,9,6,25,423.42857142857144,416.0
179,2017,17,35,1,11.529284591194969,3.0
180,2017,10,9,5,8.52873821284239,3.0
181,2017,10,7,7,33.22143292064136,4.0
182,2017,9,7,48,465.95959595959596,445.0
183,2017,17,36,1,6.534981905910736,2.0
184,2017,9,28,22,386.27868852459017,364.0
185,2017,9,11,26,478.5,478.5
186,2017,17,13,18,23.819969742813917,4.0
187,2017,9,5,28,580.3142857142857,623.0
188,2017,10,8,9,15.430468461822207,3.0
189,2017,1,13,13,6.663677130044843,3.0
190,2017,17,29,18,181.85714285714286,8.0
191,2017,10,15,3,7.80469065911848,2.0
192,2017,10,1,20,96.4620253164557,77.5
193,2017,10,32,5,44.69277108433735,30.5
194,2017,9,2,12,197.8728813559322,138.0
195,2017,10,12,24,50.25868725868726,32.0
196,2017,9,31,17,719.5833333333334,771.5
197,2017,9,31,17,719.5833333333334,771.5
198,2017,10,14,18,62.695454545454545,34.0
199,2017,15,9,13,910.0,910.0
200,2017,10,3,21,298.16279069767444,380.0
201,2017,20,9,7,509.3103448275862,543.0
202,2017,10,12,18,55.30711610486891,35.0
203,2017,10,12,26,50.896907216494846,33.0
204,2017,10,12,26,50.896907216494846,33.0
205,2017,10,27,22,567.4615384615385,562.0
206,2018,9,6,25,31.095588235294116,27.5
207,2018,17,35,1,11.28191976552482,3.0
208,2018,10,9,5,9.410170250896057,3.0
209,2018,10,7,7,19.24794052642154,4.0
210,2018,9,7,48,62.87336244541485,19.0
211,2018,17,36,1,7.705287356321839,2.0
212,2018,9,28,22,35.82119205298013,12.0
213,2018,9,11,26,15.994475138121548,12.0
214,2018,21,1,3,1.0,1.0
215,2018,17,13,18,7.375638841567291,4.0
216,2018,9,5,28,26.848,13.0
217,2018,10,8,9,24.714060653800708,4.0
218,2018,1,13,13,2.5185185185185186,1.0
219,2018,17,29,18,20.095693779904305,6.0
220,2018,10,15,3,7.409193330328977,3.0
221,2018,10,1,20,39.5989010989011,34.0
222,2018,10,32,5,36.976377952755904,30.0
223,2018,9,2,12,91.16,82.0
224,2018,10,12,24,41.937254901960785,33.0
225,2018,9,31,17,403.5,386.5
226,2018,9,31,17,403.5,386.5
227,2018,10,14,18,42.39179104477612,35.0
228,2018,15,9,13,225.0,225.0
229,2018,20,9,7,217.78494623655914,218.0
230,2018,10,12,18,39.966850828729285,34.0
231,2018,10,12,26,42.07258064516129,32.0
232,2018,10,12,26,42.07258064516129,32.0
233,2018,10,27,22,175.39175257731958,176.0
