,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
74,2014,1,9,2,NI,15,1725.0,1436.0666666666666,2,2,7,4,0
75,2014,1,9,6,NI,75,565.0,573.9066666666666,23,48,4,0,0
76,2014,1,9,7,NI,30,820.5,851.4666666666667,2,21,7,0,0
77,2014,1,9,9,NI,58,496.0,611.7586206896551,21,29,8,0,0
78,2014,1,9,10,NI,23,337.0,347.60869565217394,15,7,1,0,0
79,2014,1,9,11,NI,207,468.0,597.4541062801933,89,85,32,1,0
80,2014,1,9,12,NI,21,464.0,589.047619047619,7,12,2,0,0
81,2014,1,9,13,NI,31,588.0,734.0645161290323,6,15,10,0,0
82,2014,1,9,14,NI,3,912.0,811.6666666666666,1,1,1,0,0
83,2014,1,9,15,NI,26,505.5,631.1538461538462,11,10,5,0,0
84,2014,1,9,16,NI,15,298.0,391.2,12,1,2,0,0
85,2014,1,9,17,NI,18,482.0,562.5555555555555,4,13,1,0,0
86,2014,1,9,18,NI,11,325.0,405.45454545454544,7,4,0,0,0
87,2014,1,10,2,NI,9,182.0,261.0,8,1,0,0,0
88,2014,1,10,4,NI,9,451.0,740.3333333333334,2,5,2,0,0
89,2014,1,10,5,NI,18,495.0,578.1666666666666,6,11,1,0,0
90,2014,1,10,6,NI,36,301.0,416.6666666666667,24,10,2,0,0
91,2014,1,10,7,NI,21,706.0,739.3809523809524,3,15,3,0,0
92,2014,1,10,8,NI,3,890.0,883.3333333333334,0,3,0,0,0
93,2014,1,10,9,NI,14,1024.5,1031.642857142857,0,11,3,0,0
94,2014,1,11,1,NI,11,643.0,811.9090909090909,2,5,4,0,0
95,2014,1,11,2,NI,10,369.5,374.8,5,5,0,0,0
96,2014,1,11,4,NI,173,659.0,763.456647398844,49,71,51,2,0
97,2014,1,11,6,NI,34,672.0,792.3823529411765,8,15,11,0,0
98,2014,1,11,7,NI,16,791.0,952.5625,2,8,4,2,0
99,2014,1,11,8,NI,6,446.5,513.3333333333334,1,5,0,0,0
100,2014,1,12,2,NI,27,288.0,382.51851851851853,18,8,1,0,0
101,2014,1,12,4,NI,1,65.0,65.0,1,0,0,0,0
102,2014,1,12,5,NI,3,358.0,553.0,2,1,0,0,0
103,2014,1,12,6,NI,8,1022.5,1078.0,0,4,4,0,0
104,2014,1,12,8,NI,5,311.0,539.2,3,1,1,0,0
105,2014,1,12,9,NI,1,51.0,51.0,1,0,0,0,0
106,2014,1,12,10,NI,5,759.0,867.4,1,3,1,0,0
107,2014,1,12,12,NI,1,307.0,307.0,1,0,0,0,0
108,2014,1,13,1,NI,1,1487.0,1487.0,0,0,1,0,0
109,2014,1,13,2,NI,303,380.0,492.2706270627063,137,142,24,0,0
110,2014,1,13,4,NI,24,585.5,636.8333333333334,5,18,1,0,0
111,2014,1,13,5,NI,23,843.0,741.4782608695652,8,8,7,0,0
112,2014,1,13,6,NI,19,385.0,512.2631578947369,8,10,1,0,0
113,2014,1,13,7,NI,20,145.0,392.7,14,4,2,0,0
114,2014,1,13,8,NI,7,206.0,345.85714285714283,5,2,0,0,0
115,2014,1,13,9,NI,91,395.0,612.3736263736264,42,31,18,0,0
116,2014,1,13,10,NI,32,662.0,733.875,8,14,10,0,0
117,2014,1,13,11,NI,9,666.0,625.6666666666666,3,4,2,0,0
118,2014,1,13,12,NI,25,752.0,846.48,8,6,11,0,0
119,2014,1,13,13,NI,1,29.0,29.0,1,0,0,0,0
120,2014,1,13,15,NI,66,320.0,516.6818181818181,42,14,10,0,0
121,2014,1,13,16,NI,4,119.5,442.5,3,0,1,0,0
122,2014,1,13,17,NI,4,572.5,798.25,1,2,0,1,0
123,2014,1,14,1,NI,6,429.5,466.6666666666667,3,2,1,0,0
124,2014,1,14,2,NI,485,399.0,601.9587628865979,219,169,97,0,0
125,2014,1,14,4,NI,4,878.5,901.75,0,2,2,0,0
126,2014,1,14,5,NI,34,469.5,679.7941176470588,15,10,9,0,0
