state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries
1.0,21.0,2.0,28745.0,8.747717589774803,413.93333333333334,217.0,90.0,90.0
1.0,24.0,2.0,17078.0,5.201949436491014,636.8055555555555,632.5,36.0,36.0
1.0,26.0,2.0,23452.0,7.136944613511869,447.34328358208955,198.0,67.0,67.0
1.0,27.0,2.0,20842.0,6.342665855143031,482.8095238095238,276.0,63.0,63.0
1.0,28.0,2.0,25150.0,7.653682288496652,531.0454545454545,363.5,66.0,66.0
1.0,29.0,2.0,27990.0,8.517954960438223,701.0384615384615,666.0,52.0,52.0
1.0,31.0,3.0,25821.0,7.857881923311017,745.12,334.0,50.0,50.0
1.0,32.0,2.0,19559.0,5.952221545952526,433.484375,235.0,64.0,64.0
1.0,33.0,2.0,7509.0,2.285149117468046,804.8421052631579,849.0,19.0,19.0
1.0,34.0,3.0,11424.0,3.4765672550213025,677.0416666666666,371.5,24.0,24.0
1.0,23.0,1.0,2459.0,1.5823680823680824,261.4,166.0,15.0,15.0
1.0,23.0,3.0,4538.0,1.5680718728403593,666.6666666666666,752.0,9.0,9.0
1.0,23.0,6.0,3284.0,0.9993913572732805,956.8,754.0,5.0,5.0
1.0,23.0,9.0,6500.0,1.978088861838101,398.15,304.0,20.0,20.0
2.0,2.0,1.0,55989.0,17.038648813146683,614.9826086956522,562.0,115.0,115.0
2.0,3.0,1.0,56414.0,17.790602333648692,659.0272727272727,670.0,110.0,110.0
2.0,4.0,1.0,69403.0,21.120815581253805,504.7413793103448,357.5,174.0,174.0
2.0,5.0,1.0,91208.0,27.756542909312234,574.6479591836735,416.0,196.0,196.0
2.0,5.0,17.0,3163.0,0.9996839443742098,1947.0,1947.0,2.0,2.0
2.0,7.0,1.0,42132.0,14.379522184300342,515.4174757281553,368.0,103.0,103.0
2.0,10.0,1.0,52598.0,16.006695069993913,389.8474576271187,142.0,177.0,177.0
2.0,11.0,6.0,6391.0,2.190198766278273,654.4166666666666,727.5,12.0,12.0
2.0,15.0,1.0,35988.0,12.839100963253657,647.3823529411765,699.0,68.0,68.0
2.0,17.0,1.0,44619.0,14.088727502368172,358.5806451612903,145.0,155.0,155.0
2.0,19.0,1.0,37976.0,11.893517068587535,541.8817204301075,330.0,93.0,93.0
2.0,20.0,1.0,59065.0,18.475132937128556,436.1731843575419,275.0,179.0,179.0
2.0,21.0,1.0,32419.0,9.865794278758369,427.126213592233,151.0,103.0,103.0
2.0,23.0,1.0,57530.0,17.507608034083994,603.936,485.0,125.0,125.0
2.0,3.0,5.0,7631.0,2.729256080114449,517.0526315789474,514.0,19.0,19.0
2.0,4.0,3.0,19967.0,6.076384662203287,605.8181818181819,240.5,44.0,44.0
2.0,4.0,6.0,6800.0,2.7960526315789473,884.0,1007.0,11.0,11.0
2.0,5.0,23.0,1119.0,1.0,1727.0,1727.0,1.0,1.0
2.0,11.0,1.0,56207.0,18.302507326603713,637.9459459459459,469.0,111.0,111.0
2.0,20.0,6.0,10571.0,3.2972551466001248,793.8235294117648,507.0,17.0,17.0
2.0,11.0,5.0,16311.0,4.963785757760195,620.4117647058823,563.0,34.0,34.0
2.0,20.0,11.0,3021.0,0.998017839444995,750.4,453.0,5.0,5.0
3.0,1.0,1.0,678.0,1.0,704.5,704.5,2.0,2.0
3.0,3.0,1.0,229.0,0.13462669018224574,10.454545454545455,10.0,22.0,22.0
3.0,4.0,1.0,1954.0,0.9903699949315763,537.0,367.0,5.0,5.0
3.0,9.0,1.0,3177.0,1.8460197559558396,671.25,638.0,8.0,8.0
3.0,10.0,1.0,166.0,0.0983995257854179,8.3,8.5,20.0,20.0
3.0,11.0,1.0,944.0,0.9989417989417989,418.75,102.0,4.0,4.0
3.0,13.0,1.0,910.0,1.0,1641.0,1641.0,1.0,1.0
3.0,15.0,1.0,3395.0,1.0331710286062081,455.09090909090907,376.0,11.0,11.0
3.0,17.0,1.0,1127.0,1.5480769230769231,1294.5,1294.5,2.0,2.0
3.0,19.0,1.0,399.0,1.0,1130.0,1130.0,1.0,1.0
3.0,22.0,1.0,508.0,0.529718456725756,154.875,12.5,8.0,8.0
