,state_code,dist_code,court_no,transfers_in,transfers_out,avg_judge_count
93,1.0,5.0,18.0,9.0,0.0,5.477979274611399
94,1.0,5.0,19.0,13.0,0.0,7.188341968911917
95,1.0,5.0,20.0,13.0,0.0,6.756735751295337
96,1.0,5.0,21.0,9.0,0.0,5.157608695652174
97,1.0,5.0,24.0,40.0,0.0,21.720030158331237
98,1.0,5.0,25.0,22.0,0.0,10.869816536818297
99,1.0,5.0,26.0,12.0,0.0,4.897150259067358
100,1.0,5.0,27.0,10.0,0.0,6.068134715025907
101,1.0,5.0,28.0,13.0,0.0,6.511917098445596
102,1.0,5.0,29.0,3.0,0.0,2.5122601279317696
103,1.0,5.0,30.0,11.0,0.0,5.834974093264249
104,1.0,5.0,31.0,1.0,0.0,1.0
105,1.0,5.0,32.0,9.0,0.0,3.770466321243523
106,1.0,5.0,33.0,1.0,0.0,1.0
107,1.0,5.0,34.0,1.0,0.0,1.0
108,1.0,5.0,35.0,7.0,0.0,3.60064
109,1.0,5.0,36.0,6.0,0.0,3.94967978042086
110,1.0,5.0,37.0,1.0,0.0,1.0
111,1.0,7.0,1.0,23.0,0.0,10.304700162074555
112,1.0,7.0,2.0,2.0,0.0,1.6554495228528379
113,1.0,7.0,3.0,2.0,0.0,1.5874780573434757
114,1.0,7.0,4.0,2.0,0.0,1.5502923976608187
115,1.0,7.0,7.0,5.0,0.0,3.7130736598534515
116,1.0,7.0,8.0,4.0,0.0,1.8956947162426614
117,1.0,7.0,9.0,2.0,0.0,1.969181721572795
118,1.0,7.0,10.0,6.0,0.0,4.149777558082056
119,1.0,7.0,11.0,2.0,0.0,1.969181721572795
120,1.0,7.0,12.0,12.0,0.0,5.679445052939029
121,1.0,7.0,13.0,35.0,0.0,14.46368276403612
122,1.0,7.0,14.0,17.0,0.0,8.581672203765226
123,1.0,7.0,15.0,23.0,0.0,11.994288325336989
124,1.0,7.0,16.0,14.0,0.0,5.24981440237565
125,1.0,7.0,17.0,29.0,0.0,14.071231798504526
126,1.0,7.0,18.0,16.0,0.0,7.204541453969371
127,1.0,7.0,19.0,2.0,0.0,1.922912205567452
