state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name
1.0,37.0,2.0,15947.0,4.853012781497261,355.70491803278685,307.0,61.0,61.0,Maharashtra,Mumbai City Civil Court,CITY CIVIL AND SESSION COURT MUMBAI
1.0,1.0,7.0,1330.0,0.4714640198511166,443.33333333333326,401.0,3.0,3.0,Maharashtra,Nandurbar,Additional District  And Sessions Court Shahada
1.0,20.0,9.0,2324.0,0.7072428484479609,207.47619047619045,56.0,21.0,21.0,Maharashtra,Nashik,"ADDITIONAL DISTRICT AND SESSIONS COURT, MALEGAON"
1.0,21.0,25.0,3216.0,0.979591836734694,259.8888888888889,68.5,18.0,18.0,Maharashtra,Thane,ADDL.DIST.  SESSIONS COURT KALYAN
1.0,21.0,28.0,3308.0,1.1198375084631007,310.6923076923077,217.0,13.0,13.0,Maharashtra,Thane,ADDIL. DISTRICT AND SESSEIONS COURT PALGHAR
1.0,25.0,4.0,15474.0,4.709068776628119,781.375,774.5,32.0,32.0,Maharashtra,Pune,ADDITIONAL DISTRICT AND SESSIONS COURT BARAMATI
1.0,28.0,11.0,4858.0,1.4783931832014607,307.15,122.5,20.0,20.0,Maharashtra,Latur,Additional District  Addl. Sessions Court Udgir
1.0,28.0,12.0,4935.0,1.7382881296231067,332.3125,63.0,16.0,16.0,Maharashtra,Latur,Additional District and Sessions Court Nilanga
1.0,28.0,13.0,1925.0,0.7566823899371069,385.0,31.0,5.0,5.0,Maharashtra,Latur,"Additional District and Sessions Court, Ahmedpur."
1.0,31.0,7.0,9628.0,2.9300060864272672,522.1428571428571,180.0,28.0,28.0,Maharashtra,Satara,ADDITIONAL DISTRICT AND SESSIONS JUDGE KARAD
1.0,25.0,24.0,3321.0,1.022475369458128,501.27272727272725,175.0,11.0,11.0,Maharashtra,Pune,"ADDL. DISTRICT COURT, KHED"
1.0,30.0,21.0,2066.0,0.6287279367011565,506.0,420.0,8.0,8.0,Maharashtra,Solapur,"Additional District Court, Barshi"
1.0,1.0,1.0,21732.0,6.6135118685331715,616.5102040816328,451.0,49.0,49.0,Maharashtra,Nandurbar,Chief Judcial Magistrate Nandurbar
1.0,2.0,2.0,11521.0,3.5060864272671943,504.0285714285714,199.0,35.0,35.0,Maharashtra,Dhule,"CHIEF JUDICIAL MAGISTRATE COURT, DHULE"
1.0,4.0,2.0,24639.0,7.498174071819843,517.474358974359,325.5,78.0,78.0,Maharashtra,Buldhana,CHIEF JUDICIAL MAGISTRATE BULDANA.
1.0,5.0,2.0,14102.0,4.2915398660986,507.0526315789474,362.0,38.0,38.0,Maharashtra,Akola,Chief Judicial Magistrate
1.0,7.0,2.0,1253.0,0.9944444444444444,992.0,992.0,2.0,2.0,Maharashtra,Amravati,CHIEF JUDICIAL MAGISTRATE COURT
1.0,8.0,2.0,21235.0,6.462264150943396,419.6710526315789,310.5,76.0,76.0,Maharashtra,Wardha,"COURT OF CHIEF JUDICIAL MAGISTRATE, WARDHA."
1.0,9.0,2.0,23501.0,7.151856360316494,276.8828125,133.0,128.0,128.0,Maharashtra,Nagpur,"Chief Judicial Magistrate,Nagpur"
1.0,10.0,2.0,12246.0,3.7267194157029824,654.6923076923077,571.5,26.0,26.0,Maharashtra,Bhandara,CHIEF  JUDICIAL MAGISTRATE BHANDARA
1.0,11.0,4.0,5147.0,1.861482820976492,489.33333333333326,397.0,15.0,15.0,Maharashtra,Gondia,"Chief Judicial Magistrate, Gondia"
1.0,12.0,2.0,31.0,1.0,31.0,31.0,1.0,1.0,Maharashtra,Gadchiroli,"CHIEF JUDICIAL MAGISTRATE, GADCHIROLI"
1.0,13.0,2.0,16460.0,5.009129640900792,656.7631578947369,602.5,38.0,38.0,Maharashtra,Chandrapur,"Chief Judicial Magistrate, Chandrapur"
1.0,14.0,2.0,34332.0,10.44796104686549,670.05,542.0,80.0,80.0,Maharashtra,Yavatmal,"Chief Judicial Magistrate, Yavatmal"
1.0,17.0,2.0,32349.0,9.844491783323187,607.3506493506493,362.0,77.0,77.0,Maharashtra,Parbhani,CHIEF JUDICIAL MAGISTRATE COURT PARBHANI.
1.0,18.0,2.0,5475.0,1.6692073170731707,617.25,693.0,12.0,12.0,Maharashtra,Jalna,CHIEF JUDICIAL MAGISTRATE COURT JALNA
1.0,19.0,3.0,17960.0,5.465611685940354,316.3614457831325,112.0,83.0,83.0,Maharashtra,Aurangabad,"CHIEF JUDICIAL MAGISTRATE,AURANGABAD"
1.0,20.0,3.0,20301.0,6.1780279975654295,325.90243902439016,58.5,82.0,82.0,Maharashtra,Nashik,CHIEF JUDICIAL MAGISTRATE NASHIK.
1.0,21.0,2.0,28745.0,8.747717589774803,413.9333333333333,217.0,90.0,90.0,Maharashtra,Thane,C.J.M. COURT THANE
1.0,24.0,2.0,17078.0,5.201949436491014,636.8055555555555,632.5,36.0,36.0,Maharashtra,Raigad,"Chief Judicial Magistrate,Raigad-Alibag"
1.0,26.0,2.0,23452.0,7.136944613511869,447.3432835820896,198.0,67.0,67.0,Maharashtra,Ahmednagar,"Chief Judicial Magistrate, Ahmednagar"
1.0,27.0,2.0,20842.0,6.342665855143031,482.80952380952385,276.0,63.0,63.0,Maharashtra,Beed,CHIEF JUDICIAL MAGISTRATE BEED.
1.0,28.0,2.0,25150.0,7.653682288496653,531.0454545454545,363.5,66.0,66.0,Maharashtra,Latur,"Chief Judicial Magistrate, Latur"
1.0,29.0,2.0,27990.0,8.517954960438223,701.0384615384614,666.0,52.0,52.0,Maharashtra,Osmanabad,CHIEF JUDICIAL MAGISTRATE COURT OSMANABAD.
1.0,31.0,3.0,25821.0,7.857881923311018,745.12,334.0,50.0,50.0,Maharashtra,Satara,Chief Judicial Magistrate Satara
1.0,32.0,2.0,19559.0,5.9522215459525265,433.484375,235.0,64.0,64.0,Maharashtra,Ratnagiri,CHIEF JUDICIAL MAGISTRATE COURT RATNAGIRI.
1.0,33.0,2.0,7509.0,2.285149117468046,804.8421052631578,849.0,19.0,19.0,Maharashtra,Sindhudurg,CHIEF JUDICIAL MAGISTRATE SINDHUDURG
1.0,34.0,3.0,11424.0,3.4765672550213025,677.0416666666666,371.5,24.0,24.0,Maharashtra,Kolhapur,Chief Judicial Magistrate Kolhapur
1.0,23.0,1.0,2459.0,1.5823680823680824,261.4,166.0,15.0,15.0,Maharashtra,Mumbai CMM Courts,"CMM COURT, ESPLANADE COURT, MUMBAI"
1.0,23.0,3.0,4538.0,1.568071872840359,666.6666666666666,752.0,9.0,9.0,Maharashtra,Mumbai CMM Courts,"ADDL. CHIEF METROPOLITAN MAGISTRATE COURT, GIRGAON"
