state_code,dist_code,court_no,total_judge_days,avg_judge_count,mean_tenure_days,median_tenure_days,num_judges,num_valid_entries,state_name,district_name,court_name,total_cases,total_valid_cases,median_decision_days,mean_decision_days,work_load(total_cases/avg_judge_count)
16,7,6,4006,1.561793372,683.25,624,8,8,"West Bengal","Paschim Medinpur","adj",527,517,164,492.9941973,337.4326011
16,8,9,3607,1.976438356,1013.8,1066,5,5,"West Bengal","Birbhum","ADJ",1935,1932,240.5,420.7536232,979.0338231
16,8,13,1548,0.919239905,1139.5,1139.5,2,2,"West Bengal","Birbhum","BOLPUR ADJ COURT",923,890,186.5,257.4921348,1004.090439
16,10,6,2365,1.295890411,1275.666667,1288,3,3,"West Bengal","Purulia","ADJ Raghunathpur",909,908,203.5,335.3017621,701.448203
16,13,6,1472,0.9945945946,734.3333333,694,3,3,"West Bengal","South Dinajpur","ADJ Court Buniadpur",2354,2218,65,269.3187556,2366.793478
16,14,7,9342,3.569736339,1022.166667,1082.5,12,12,"West Bengal","North  Twenty Four Parganas","basirhat ADJ",2759,2553,241,343.1347434,772.8862128
16,14,14,4697,2.113861386,765.5555556,927,9,9,"West Bengal","North  Twenty Four Parganas","ADJ Bongaon",9854,9780,33,254.6320041,4661.611241
16,18,10,2162,0.981389015,578.6,457,5,5,"West Bengal","Purba Bardhaman","burkaladjdb",2072,2055,426,616.3201946,2111.293247
16,22,12,1824,0.9994520548,638.75,732,4,4,"West Bengal","Nadia","tehadjdb",933,852,48.5,441.6138498,933.5115132
16,7,12,1780,0.9994385177,836.6666667,699,3,3,"West Bengal","Paschim Medinpur","pmghataladjdb",874,874,215.5,370.5709382,874.4910112
16,1,3,1539,0.9237695078,378.3333333,353,6,6,"West Bengal","Malda","Chief Judicial Magistrate, Malda",6986,6705,246,422.1834452,7562.492528
16,2,4,7334,3.732315522,732.7142857,900,14,14,"West Bengal","Hooghly","CHIEF JUDICIAL MAGISTRATE,HOOGHLY",9050,8850,253,465.0541243,2424.768203
16,4,3,1954,0.9979570991,537,344,5,5,"West Bengal","Jalpaiguri","Chief Judicial Magistrate",3933,3830,408,737.6276762,3941.051177
16,6,3,4392,2.406575342,506.2307692,696,13,13,"West Bengal","Coochbehar","Chief Judicial Magistrate , Cooch Behar",7071,3012,320,456.4956839,2938.200137
16,7,3,6929,2.655806823,821,790.5,12,12,"West Bengal","Paschim Medinpur","chiefjudicialmagistrate,medinipur",14204,11730,372,602.2699062,5348.28056
16,8,3,7311,3.915907874,852.9166667,998,12,12,"West Bengal","Birbhum","cjm",6840,4954,525,714.2987485,1746.721379
