,year,state_code,dist_code,court_no,total_judge_count,median_tenure,mean_tenure,weighted_mean_tenure,avg_daily_judge_count
134,2016,1,13,13,4,537.5,540.0,569.6480446927374,1.9616438356164383
135,2017,1,13,13,3,718.0,554.3333333333334,607.0527983104541,2.5945205479452054
136,2018,1,13,13,4,478.5,481.0,439.94986072423404,1.9671232876712326
137,2010,1,14,1,15,813.0,1053.0,1115.6203479942,11.336986301369862
138,2011,1,14,1,18,938.0,1038.5555555555557,1199.2095636268618,10.484931506849314
139,2012,1,14,1,19,998.0,995.578947368421,1176.8108784706417,12.038356164383563
140,2013,1,14,1,15,1071.0,1131.0,1189.0816656559532,13.553424657534247
141,2014,1,14,1,24,1051.0,917.2083333333334,1043.3930728241562,15.424657534246577
142,2015,1,14,1,26,697.0,799.5384615384615,928.5066147859924,14.082191780821915
143,2016,1,14,1,22,509.5,632.3636363636364,865.3916513198283,13.389041095890411
144,2017,1,14,1,30,543.0,620.4333333333333,869.4186924710881,11.60821917808219
145,2018,1,14,1,29,744.0,592.4137931034483,863.717065166432,11.687671232876713
146,2010,1,14,6,1,236.0,236.0,236.0,0.21643835616438356
147,2011,1,14,6,3,236.0,505.6666666666667,646.6130198915009,1.515068493150685
148,2012,1,14,6,3,726.0,787.3333333333334,808.6363636363635,2.471232876712329
149,2013,1,14,6,3,726.0,787.3333333333334,859.2004530011325,2.419178082191781
150,2014,1,14,6,6,338.0,440.8333333333333,544.9093298291721,2.084931506849315
151,2015,1,14,6,5,357.0,389.8,499.15977961432503,1.989041095890411
152,2016,1,14,6,3,555.0,431.3333333333333,621.6808219178082,2.0
153,2017,1,14,6,3,511.0,416.6666666666667,582.2767123287671,1.0
154,2018,1,14,6,3,511.0,435.0,482.34340659340654,0.9972602739726029
155,2010,1,14,12,1,293.0,293.0,293.0,0.37534246575342467
156,2011,1,14,12,2,691.5,691.5,749.6831955922864,0.9945205479452055
157,2012,1,14,12,1,1090.0,1090.0,1090.0,1.0
158,2013,1,14,12,1,1090.0,1090.0,1090.0,1.0
159,2014,1,14,12,2,692.5,692.5,630.9154929577466,0.9726027397260274
160,2015,1,14,12,1,295.0,295.0,295.0,0.24383561643835616
161,2017,1,14,12,1,1452.0,1452.0,1452.0,0.9753424657534246
162,2018,1,14,12,2,1102.0,1102.0,1413.9170984455957,1.0575342465753426
163,2016,1,14,17,3,233.0,319.6666666666667,412.58405545927207,1.5808219178082192
164,2017,1,14,17,4,392.0,565.5,626.5027472527472,1.9945205479452053
165,2018,1,14,17,8,30.5,226.375,728.0206043956043,1.9945205479452055
166,2010,1,15,2,2,1622.5,1622.5,1622.5,2.0
167,2011,1,15,2,3,1086.0,1242.3333333333333,1453.9294605809132,1.980821917808219
168,2012,1,15,2,3,482.0,1011.0,1310.4156378600821,1.9972602739726029
169,2013,1,15,2,4,484.5,800.0,1237.2228047182175,2.0904109589041093
170,2014,1,15,2,10,92.5,368.5,580.639314697926,3.0383561643835617
171,2015,1,15,2,5,577.0,593.6,628.4942922374428,2.4000000000000004
172,2016,1,15,2,3,1088.0,1174.6666666666667,1111.7295918367347,2.684931506849315
173,2017,1,15,2,4,906.5,963.25,1100.4546287809349,2.989041095890411
174,2018,1,15,2,7,882.0,821.4285714285714,1109.2229539040452,2.9123287671232876
175,2010,1,15,16,1,2137.0,2137.0,2137.0,1.0
176,2011,1,15,16,1,2137.0,2137.0,2137.0,1.0
177,2012,1,15,16,2,1436.5,1436.5,1707.1041095890412,1.0
178,2013,1,15,16,1,736.0,736.0,736.0,1.0
179,2014,1,15,16,2,496.5,496.5,596.5109890109891,0.9972602739726026
180,2015,1,15,16,3,257.0,206.33333333333334,306.72957746478875,0.9726027397260273
181,2016,1,15,16,3,322.0,239.66666666666666,303.8351648351648,0.9972602739726028
182,2017,1,15,16,4,176.5,217.25,364.7225274725275,0.9972602739726026
183,2018,1,15,16,2,628.5,628.5,518.610497237569,0.9917808219178081
184,2013,1,15,23,1,735.0,735.0,735.0,0.5589041095890411
185,2014,1,15,23,1,735.0,735.0,735.0,1.0
186,2015,1,15,23,2,722.5,722.5,721.3636363636363,0.9945205479452055
187,2016,1,15,23,1,710.0,710.0,710.0,1.0
188,2017,1,15,23,2,535.0,535.0,503.3615819209039,0.9698630136986301
189,2018,1,15,23,3,360.0,433.3333333333333,573.0640668523677,0.9835616438356164
190,2010,1,17,1,8,1573.0,1951.5,2056.9392871132,6.994520547945205
191,2011,1,17,1,13,1098.0,1567.3076923076924,1733.8851786760404,9.353424657534244
192,2012,1,17,1,13,1092.0,1417.4615384615386,1504.0415699024616,11.797260273972602
193,2013,1,17,1,20,1014.0,1130.6,1396.023505154639,13.287671232876715
194,2014,1,17,1,33,740.0,852.5454545454545,956.8289090597705,15.997260273972604
195,2015,1,17,1,24,638.0,697.4166666666666,809.9379346314325,15.758904109589041
196,2016,1,17,1,21,894.0,870.047619047619,894.4097730600292,14.96986301369863
197,2017,1,17,1,30,690.0,765.1666666666666,925.3201697730207,14.846575342465755
198,2018,1,17,1,24,941.0,872.75,1073.651477597712,14.36986301369863
199,2010,1,17,4,9,980.0,1201.2222222222222,1454.6779443254818,6.397260273972602
200,2011,1,17,4,12,750.0,1054.3333333333333,1303.0305917753258,5.463013698630137
201,2012,1,17,4,7,920.0,1362.7142857142858,1400.1072749691737,6.6657534246575345
202,2013,1,17,4,13,580.0,779.4615384615385,1294.4938807737863,6.93972602739726
203,2014,1,17,4,20,290.0,575.45,894.8583028826635,6.747945205479452
204,2015,1,17,4,15,322.0,412.6666666666667,555.9597362027075,7.8931506849315065
205,2016,1,17,4,21,276.0,474.57142857142856,672.2516981132076,7.26027397260274
206,2017,1,17,4,15,320.0,470.73333333333335,743.7849541284401,7.465753424657535
207,2018,1,17,4,15,745.0,658.3333333333334,1028.3949124270225,6.56986301369863
208,2010,1,17,7,4,450.5,609.5,818.3719008264463,1.989041095890411
209,2011,1,17,7,6,236.0,321.1666666666667,256.928275862069,1.9863013698630136
210,2012,1,17,7,2,580.0,580.0,580.0,2.0
211,2013,1,17,7,10,104.0,175.2,307.86968838526917,1.9342465753424658
212,2014,1,17,7,6,104.0,151.0,179.98066298342545,1.9835616438356163
213,2015,1,17,7,4,331.0,331.0,368.09917355371897,1.989041095890411
214,2016,1,17,7,6,357.0,293.8333333333333,302.62180200222474,2.4630136986301365
215,2017,1,17,7,8,373.5,514.75,710.5410122164049,3.13972602739726
216,2018,1,17,7,7,745.0,803.8571428571429,992.8236331569666,3.106849315068493
217,2015,1,17,10,1,218.0,218.0,218.0,0.1643835616438356
218,2016,1,17,10,1,218.0,218.0,217.99999999999997,0.4301369863013699
219,2017,1,17,10,1,360.0,360.0,360.0,0.5726027397260274
220,2018,1,17,10,2,181.5,181.5,353.00000000000006,0.4191780821917808
221,2010,1,18,1,6,1869.5,1795.1666666666667,1927.615967365967,4.701369863013699
222,2011,1,18,1,8,1776.0,1709.75,2085.360809476802,5.550684931506849
223,2012,1,18,1,8,1776.0,1886.875,2001.224927775485,6.638356164383562
224,2013,1,18,1,9,1735.0,1717.3333333333333,1787.2339948783613,8.55890410958904
225,2014,1,18,1,14,1181.5,1180.857142857143,1687.7186067827681,8.967123287671233
226,2015,1,18,1,14,1179.0,1360.142857142857,1471.3912916423144,9.375342465753425
227,2016,1,18,1,13,812.0,1173.4615384615386,1248.445975571563,8.747945205479452
228,2017,1,18,1,12,739.5,1021.6666666666666,1208.3284923928081,7.923287671232876
229,2018,1,18,1,17,736.0,849.1764705882352,985.518828451883,8.512328767123288
230,2010,1,19,4,4,1271.5,1322.25,1574.1973947895792,2.734246575342466
231,2011,1,19,4,4,1271.5,1322.25,1322.25,4.0
232,2012,1,19,4,9,530.0,879.3333333333334,936.5309132161088,4.83013698630137
233,2013,1,19,4,15,310.0,526.4,838.0949015648663,5.427397260273972
234,2014,1,19,4,12,310.5,457.3333333333333,799.8751269035533,5.397260273972602
235,2015,1,19,4,10,399.0,569.0,822.2902930402929,5.983561643835617
236,2016,1,19,4,18,250.0,442.6666666666667,736.0682261208576,5.621917808219178
237,2017,1,19,4,12,280.0,627.3333333333334,763.0275355667738,5.96986301369863
238,2018,1,19,4,17,274.0,527.9411764705883,827.283607248209,6.501369863013699
239,2010,1,20,1,12,2347.0,2210.6666666666665,2213.7273975738153,11.96986301369863
240,2011,1,20,1,18,2083.5,1842.4444444444443,2016.3068812430633,14.810958904109588
241,2012,1,20,1,22,1441.5,1582.3636363636363,1760.1245277078087,17.4027397260274
242,2013,1,20,1,23,1085.0,1395.2608695652175,1523.2024309072497,18.934246575342463
243,2014,1,20,1,38,599.0,942.921052631579,1031.3589451176053,19.219178082191778
244,2015,1,20,1,38,424.0,596.8684210526316,750.0459553493765,18.898630136986302
245,2016,1,20,1,43,395.0,473.0,680.3474337281444,19.43013698630137
246,2017,1,20,1,40,422.0,489.9,657.1799853907961,18.753424657534246
247,2018,1,20,1,40,666.0,571.325,656.3124479253457,16.44109589041096
248,2010,1,20,7,1,1356.0,1356.0,1356.0,0.29863013698630136
249,2011,1,20,7,2,1026.5,1026.5,1149.984934086629,1.4547945205479453
250,2012,1,20,7,2,1026.5,1026.5,1026.5,2.0
251,2013,1,20,7,2,1026.5,1026.5,1151.6975425330813,1.4493150684931506
252,2014,1,20,7,6,463.0,558.0,578.6497252747253,1.9945205479452055
253,2015,1,20,7,6,235.5,339.0,557.4175115207373,2.9726027397260273
254,2016,1,20,7,12,100.0,214.75,426.1097256857855,3.2958904109589042
255,2017,1,20,7,12,170.5,244.83333333333334,353.10244786944696,3.021917808219178
256,2018,1,20,7,10,296.0,424.1,332.8950381679389,4.306849315068494
257,2010,1,20,9,1,1092.0,1092.0,1092.0,1.0
258,2011,1,20,9,1,1092.0,1092.0,1092.0,0.4273972602739726
259,2015,1,20,9,1,353.0,353.0,353.0,0.5643835616438356
260,2016,1,20,9,1,353.0,353.0,353.0,0.4
261,2017,1,20,9,12,53.0,84.41666666666667,90.79603399433427,1.9342465753424658
262,2018,1,20,9,9,161.0,258.44444444444446,202.61051212938008,2.032876712328767
263,2010,1,21,1,13,1460.0,1462.4615384615386,1582.7829499323411,10.123287671232877
264,2011,1,21,1,17,1094.0,1399.235294117647,1518.3795454545457,13.26027397260274
265,2012,1,21,1,15,1095.0,1492.4666666666667,1492.4666666666667,15.0
266,2013,1,21,1,26,1082.5,1018.1923076923077,1246.4072727272728,16.575342465753423
267,2014,1,21,1,43,394.0,647.3953488372093,832.5481021394064,19.84931506849315
268,2015,1,21,1,47,394.0,541.9574468085107,723.1203365032916,22.471232876712335
269,2016,1,21,1,36,573.0,591.1388888888889,734.8002853067047,21.12602739726027
270,2017,1,21,1,35,405.0,543.8285714285714,719.7048081755739,16.353424657534244
271,2018,1,21,1,32,745.0,656.875,795.4795221843003,12.843835616438357
272,2010,1,21,23,1,2818.0,2818.0,2818.0,1.0
273,2011,1,21,23,1,2818.0,2818.0,2818.0,1.0
274,2012,1,21,23,1,2818.0,2818.0,2818.0,0.4136986301369863
275,2014,1,21,23,1,219.0,219.0,219.0,0.1643835616438356
276,2015,1,21,23,5,76.0,116.4,175.78236914600555,0.9945205479452054
277,2016,1,21,23,3,217.0,188.0,204.73788546255506,1.2438356164383562
278,2017,1,21,23,6,102.5,151.33333333333334,178.83480176211455,1.2438356164383562
279,2018,1,21,23,3,941.0,734.6666666666666,774.9268292682927,1.5726027397260274
280,2010,1,21,25,1,1243.0,1243.0,1243.0,0.989041095890411
281,2011,1,21,25,1,1243.0,1243.0,1243.0,1.0
282,2012,1,21,25,2,1058.0,1058.0,1060.0498614958449,1.978082191780822
283,2013,1,21,25,2,1058.0,1058.0,980.7669902912621,1.410958904109589
284,2014,1,21,25,1,873.0,873.0,873.0,0.410958904109589
285,2016,1,21,25,2,158.5,158.5,214.21739130434784,0.44109589041095887
286,2017,1,21,25,6,64.5,91.66666666666667,151.17582417582418,0.9972602739726026
287,2018,1,21,25,8,71.5,164.75,196.9232111692845,1.56986301369863
288,2010,1,21,28,1,1279.0,1279.0,1279.0,0.08767123287671233
289,2011,1,21,28,1,1279.0,1279.0,1279.0,1.0
290,2012,1,21,28,1,1279.0,1279.0,1279.0,1.0
291,2013,1,21,28,2,821.5,821.5,950.9507908611599,1.558904109589041
292,2014,1,21,28,4,290.5,501.75,552.375486381323,1.4082191780821918
293,2015,1,21,28,4,146.5,134.5,184.08539944903583,0.9945205479452055
294,2016,1,21,28,3,217.0,163.33333333333334,201.27397260273972,1.0
295,2017,1,21,28,4,162.0,182.0,202.42582417582418,0.9972602739726028
296,2018,1,21,28,2,631.5,631.5,679.1153846153848,0.9972602739726026
297,2010,1,24,1,2,1341.0,1341.0,1783.4175824175823,1.2465753424657535
298,2011,1,24,1,4,1932.0,1636.5,1555.5340314136126,3.13972602739726
299,2012,1,24,1,6,1452.0,1419.3333333333333,1608.2781136638453,4.531506849315068
300,2013,1,24,1,7,1083.0,1379.2857142857142,1503.8057448880234,5.627397260273972
301,2014,1,24,1,14,892.5,925.0714285714286,1172.7703479576398,9.054794520547945
302,2015,1,24,1,20,990.5,1026.8,1102.1180305755395,12.186301369863013
303,2016,1,24,1,21,850.0,1022.1428571428571,1246.0905697445974,13.945205479452055
304,2017,1,24,1,22,1038.5,1031.7272727272727,1148.1084403669724,14.931506849315069
305,2018,1,24,1,22,941.0,1069.8181818181818,1229.8038194444443,14.202739726027398
306,2016,1,24,14,1,427.0,427.0,427.0,0.7424657534246575
307,2017,1,24,14,2,866.0,866.0,931.1263736263736,0.9972602739726026
308,2018,1,24,14,1,1305.0,1305.0,1305.0,1.0
309,2010,1,25,1,9,2507.0,2470.3333333333335,2484.8010873041253,8.567123287671233
310,2011,1,25,1,12,2182.5,2174.5833333333335,2268.3558763931105,10.816438356164383
311,2012,1,25,1,15,1820.0,1930.6,2068.7457130907574,13.101369863013698
312,2013,1,25,1,24,1088.0,1347.9166666666667,1683.3044244950306,17.09041095890411
313,2014,1,25,1,44,272.5,788.3863636363636,1263.5780051150896,20.353424657534248
314,2015,1,25,1,34,431.0,866.0882352941177,1078.8194108438875,19.252054794520554
315,2016,1,25,1,35,450.0,782.8571428571429,862.5836007702183,17.073972602739726
316,2017,1,25,1,28,547.0,647.7142857142857,808.334549244398,15.772602739726029
317,2018,1,25,1,28,678.5,695.0357142857143,799.831086994574,15.652054794520545
318,2010,1,25,4,2,2458.5,2458.5,2458.5,2.0
319,2011,1,25,4,5,1086.0,1598.0,2270.990159901599,2.2273972602739724
320,2012,1,25,4,6,1138.0,1548.5,1673.7310385064177,4.695890410958905
321,2013,1,25,4,6,1138.0,1548.5,1567.8594847775175,5.8493150684931505
322,2014,1,25,4,6,1138.0,1453.5,1737.7583081570997,4.534246575342466
323,2015,1,25,4,13,264.0,806.4615384615385,893.025641025641,4.273972602739726
324,2016,1,25,4,8,881.0,939.375,970.7098923628907,5.345205479452055
325,2017,1,25,4,8,881.0,932.125,1024.5215348472984,6.997260273972603
326,2018,1,25,4,15,770.0,753.2,1010.7516005121638,6.419178082191781
327,2010,1,26,1,4,1862.0,2018.75,2083.44877675841,3.5835616438356164
328,2011,1,26,1,9,1462.0,1444.3333333333333,1555.6026717557252,7.178082191780822
329,2012,1,26,1,17,1095.0,1268.8235294117646,1420.5993039443158,11.80821917808219
330,2013,1,26,1,19,1008.0,1181.8947368421052,1303.116489907629,16.016438356164382
331,2014,1,26,1,33,616.0,786.8787878787879,1103.2761082517018,16.5013698630137
332,2015,1,26,1,30,588.5,679.3333333333334,899.4609575835476,17.052054794520547
333,2016,1,26,1,36,590.5,640.0277777777778,851.1600353669321,18.591780821917805
334,2017,1,26,1,31,639.0,711.2903225806451,860.5494842486759,19.654794520547945
335,2018,1,26,1,42,594.0,595.8809523809524,832.1252179979074,15.709589041095889
336,2010,1,26,9,1,1865.0,1865.0,1865.0,0.37534246575342467
337,2011,1,26,9,1,1865.0,1865.0,1865.0,1.0
338,2012,1,26,9,1,1865.0,1865.0,1865.0,1.0
339,2013,1,26,9,2,1475.0,1475.0,1585.3514938488577,1.558904109589041
340,2014,1,26,9,9,30.0,386.1111111111111,1042.3363553943789,3.021917808219178
341,2015,1,26,9,8,127.0,452.75,920.1802973977694,2.947945205479452
342,2016,1,26,9,6,270.5,353.8333333333333,448.86282578875176,1.9972602739726026
343,2017,1,26,9,7,221.0,222.57142857142858,270.4728761514841,2.676712328767123
344,2018,1,26,9,10,146.5,252.5,214.14237288135593,1.6164383561643836
345,2017,1,26,20,2,108.5,108.5,112.01442307692308,0.5698630136986301
346,2018,1,26,20,4,123.0,134.75,145.73076923076923,0.9972602739726028
347,2010,1,27,1,4,1877.0,1893.5,1858.247311827957,3.567123287671233
348,2011,1,27,1,7,1570.0,1729.5714285714287,1802.1646942800787,5.5561643835616445
349,2012,1,27,1,12,1094.5,1339.9166666666667,1442.5880906856053,10.03013698630137
350,2013,1,27,1,21,939.0,1042.857142857143,1215.2077451354444,14.361643835616439
351,2014,1,27,1,25,728.0,908.76,1018.6386363636364,16.876712328767123
352,2015,1,27,1,25,907.0,916.6,1029.916345992973,16.375342465753427
353,2016,1,27,1,25,712.0,824.32,964.538066572238,15.473972602739725
354,2017,1,27,1,27,640.0,695.8148148148148,915.6194156456174,14.534246575342465
355,2018,1,27,1,22,842.0,764.6818181818181,969.7200464171746,9.443835616438356
