,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
772,17.0,30.0,15.0,8033.0,7953.0,119.0,368.9007921539042
773,17.0,31.0,1.0,52174.0,51919.0,30.0,393.6653055721412
774,17.0,31.0,20.0,4389.0,4370.0,312.0,428.2077803203661
775,17.0,32.0,1.0,10947.0,10918.0,14.0,275.8528118703059
776,17.0,33.0,1.0,7507.0,7083.0,68.0,264.5373429337851
777,17.0,34.0,1.0,6780.0,6754.0,17.5,233.89087947882737
778,17.0,35.0,1.0,17919.0,17898.0,6.0,209.34596044250753
779,17.0,36.0,1.0,10660.0,10467.0,7.0,212.01786567306775
780,17.0,37.0,1.0,10976.0,10819.0,153.0,326.6563453184213
781,17.0,37.0,3.0,11394.0,11383.0,289.0,423.15285952736537
782,17.0,38.0,7.0,12032.0,11914.0,20.0,369.8600805774719
783,17.0,39.0,1.0,9577.0,9519.0,13.0,217.33301817417797
784,17.0,40.0,1.0,8701.0,8671.0,46.0,363.5956637066082
785,17.0,41.0,1.0,5680.0,5672.0,21.0,421.08691819464036
786,17.0,42.0,3.0,5617.0,5607.0,26.0,243.0693775637596
787,18.0,1.0,1.0,5113.0,4971.0,269.0,446.56809495071417
788,18.0,2.0,1.0,20485.0,20205.0,278.0,429.80435535758477
789,18.0,3.0,1.0,34592.0,33696.0,171.0,414.2428478157645
790,18.0,3.0,7.0,647.0,644.0,475.5,568.2142857142857
791,18.0,4.0,1.0,12050.0,11412.0,258.0,405.6186470382054
792,18.0,5.0,1.0,6805.0,6694.0,143.0,305.4589184344189
793,18.0,5.0,7.0,148.0,138.0,421.0,606.463768115942
794,18.0,6.0,1.0,17497.0,16001.0,241.0,533.9762514842822
795,18.0,6.0,5.0,1159.0,1140.0,166.5,339.12719298245617
796,18.0,6.0,10.0,210.0,210.0,26.0,183.48095238095237
797,18.0,7.0,1.0,21657.0,21324.0,128.0,416.02621459388484
798,18.0,9.0,1.0,7427.0,6292.0,123.0,258.65130324221235
799,18.0,10.0,1.0,8464.0,8166.0,146.0,370.68577026696056
800,18.0,10.0,4.0,1433.0,1386.0,265.5,496.7633477633478
801,18.0,10.0,6.0,2056.0,2049.0,300.0,530.4509516837481
802,18.0,11.0,1.0,2320.0,2249.0,298.0,429.9239662072032
803,18.0,11.0,4.0,1836.0,1831.0,434.0,546.1152375750955
804,18.0,12.0,1.0,6688.0,6053.0,287.0,402.8296712374029
805,18.0,12.0,4.0,1331.0,1276.0,157.0,284.3996865203762
806,18.0,13.0,1.0,3630.0,3517.0,203.0,319.2959909013364
807,18.0,13.0,3.0,1147.0,1055.0,117.0,194.17061611374407
808,18.0,15.0,1.0,10180.0,9864.0,182.0,290.13665855636657
809,18.0,16.0,1.0,1877.0,1873.0,140.0,259.45114789108385
810,18.0,16.0,3.0,1365.0,1335.0,384.0,656.3003745318352
811,18.0,16.0,9.0,1.0,1.0,3537.0,3537.0
812,18.0,17.0,1.0,1909.0,1888.0,353.5,570.3130296610169
813,18.0,18.0,1.0,5053.0,4978.0,124.0,258.182804339092
814,18.0,18.0,5.0,1697.0,1665.0,143.0,316.7075075075075
815,18.0,19.0,1.0,3116.0,3063.0,171.0,391.3013385569703
816,18.0,20.0,1.0,2578.0,2567.0,345.0,538.9076743280093
817,18.0,21.0,3.0,2755.0,2738.0,333.0,617.9959824689554
818,18.0,22.0,1.0,1657.0,1640.0,409.0,588.534756097561
819,18.0,23.0,1.0,7651.0,7140.0,117.0,280.43347338935575
820,18.0,23.0,5.0,1565.0,1539.0,217.0,451.4132553606238
821,18.0,25.0,3.0,2310.0,2264.0,461.5,638.6718197879859
822,19.0,2.0,2.0,197.0,151.0,161.0,278.57615894039736
823,20.0,1.0,4.0,14418.0,14315.0,365.0,530.9959483059728
824,20.0,2.0,6.0,5366.0,5276.0,212.0,326.5716451857468
825,20.0,3.0,9.0,4606.0,4524.0,357.0,492.3227232537577
826,20.0,5.0,2.0,4606.0,4588.0,175.0,328.691368788143
827,20.0,5.0,6.0,875.0,852.0,302.5,439.07042253521126
828,20.0,6.0,2.0,3860.0,3855.0,445.0,514.2415045395591
829,20.0,9.0,1.0,1619.0,1600.0,265.0,431.27
830,20.0,9.0,7.0,88.0,88.0,1822.0,1592.2613636363637
831,20.0,10.0,1.0,1034.0,1013.0,208.0,309.7028627838105
832,20.0,11.0,5.0,989.0,964.0,319.0,469.850622406639
833,20.0,11.0,8.0,27.0,27.0,1427.0,1632.888888888889
834,21.0,1.0,2.0,3416.0,2598.0,50.0,226.14588144726713
835,21.0,1.0,3.0,4266.0,1545.0,8.0,237.1676375404531
836,21.0,2.0,1.0,152.0,145.0,322.0,623.4068965517241
837,21.0,3.0,3.0,5.0,5.0,1163.0,1269.2
838,21.0,4.0,1.0,85.0,78.0,897.5,1081.0
839,21.0,5.0,2.0,171.0,148.0,1183.0,1227.7162162162163
840,22.0,1.0,1.0,142267.0,140912.0,78.0,262.8032176109913
841,22.0,2.0,1.0,112812.0,111243.0,86.0,223.08645937272456
842,22.0,3.0,1.0,72530.0,71736.0,125.0,285.2757611241218
