,state_code,year,total_judge_days,avg_judge_count
0,3,2010,111764,306.2027397260274
1,3,2011,140530,385.013698630137
2,3,2012,186946,512.1808219178082
3,3,2013,228981,627.345205479452
4,3,2014,276386,757.2219178082191
5,3,2015,297874,816.0931506849315
6,3,2016,310838,851.6109589041096
7,3,2017,326915,895.6575342465753
8,3,2018,338343,926.9671232876713
