state_code,dist_code,court_no
1,1,3
1,1,7
1,2,1
1,3,2
1,3,5
1,4,1
1,4,14
1,5,1
1,5,5
1,7,1
1,7,6
1,8,1
1,9,1
1,10,1
1,11,3
14,17,1
16,2,3
16,2,7
16,4,2
16,6,6
16,12,8
18,15,1
20,2,6
20,3,9
20,5,2
22,3,1
22,16,1
24,4,2
29,9,26
9,31,17
