,year,state_code,dist_code,num_instituted,num_disposed,num_disposed_from_instituted,clearance_rate,pending_count,new_clearance_rate
0,2010,3,3,11793,4010,3908,0.3313830238276944,7885,0.34003222250487575
1,2010,3,4,18478,8512,8497,0.4598441389760797,9981,0.4606559151423314
2,2010,3,1,26207,6809,6806,0.2597016064410272,19401,0.2598160796733697
3,2010,3,2,16867,7852,7852,0.46552439675105234,9015,0.46552439675105234
4,2010,3,20,91419,7434,7433,0.08130694932125707,83986,0.08131788796639648
5,2010,3,21,11792,343,342,0.02900271370420624,11450,0.02908751696065129
6,2010,3,12,17103,7688,7670,0.44845933461965737,9433,0.44951178155879085
7,2010,3,5,17286,6735,6727,0.3891588568783987,10559,0.38962165914612984
8,2010,3,27,5305,1224,1201,0.22639019792648446,4104,0.2307257304429783
9,2010,3,29,7916,2846,2845,0.35939868620515414,5071,0.35952501263264275
10,2010,3,17,10773,3528,3503,0.32516476376125497,7270,0.32748538011695905
11,2010,3,13,15167,6078,6071,0.40027691699083534,9096,0.4007384453088943
12,2010,3,24,4130,48,46,0.011138014527845037,4084,0.01162227602905569
13,2010,3,14,21983,10837,10825,0.49242596551881,11158,0.4929718418778147
14,2010,3,9,15934,5531,5528,0.34693109074934103,10406,0.34711936739048577
15,2010,3,8,5693,1461,1459,0.2562796416652029,4234,0.25663095028982963
16,2010,3,23,25083,8898,8883,0.35414424111948334,16200,0.35474225571103934
17,2010,3,11,15289,5395,5392,0.3526718555824449,9897,0.3528680750866636
18,2010,3,25,5064,1901,1892,0.3736176935229068,3172,0.37539494470774093
19,2010,3,19,12314,4545,4545,0.36909209030371937,7769,0.36909209030371937
20,2010,3,7,4920,2319,2061,0.4189024390243902,2859,0.4713414634146341
21,2010,3,22,21953,7304,7287,0.3319364096023323,14666,0.332710791235822
22,2010,3,26,27436,4549,4516,0.16460125382708848,22920,0.16580405306896048
23,2010,3,6,11010,3687,3683,0.33451407811080835,7327,0.3348773841961853
24,2010,3,28,7133,524,518,0.07262021589793916,6615,0.07346137669984579
25,2010,3,15,20212,8360,8341,0.41267563823471204,11871,0.41361567385711456
26,2010,3,18,24362,10299,10286,0.42221492488301454,14076,0.42274854281257696
27,2010,3,16,11743,5314,5297,0.4510772375031934,6446,0.4525249084561015
28,2010,3,10,19368,8824,8773,0.45296365138372574,10595,0.4555968608013218
29,2010,3,30,3958,2054,2051,0.5181910055583628,1907,0.5189489641232946
30,2011,3,3,16483,7193,4993,0.3029181581022872,11490,0.43638900685554816
31,2011,3,4,20608,11588,7569,0.367284549689441,13039,0.562305900621118
32,2011,3,1,33638,8089,4749,0.14117961828884001,28889,0.2404720851418039
33,2011,3,2,16707,10659,7636,0.45705392949063267,9071,0.6379960495600646
34,2011,3,20,131208,25237,12409,0.09457502591305408,118799,0.19234345466739833
35,2011,3,21,19550,1334,869,0.04445012787723785,18681,0.06823529411764706
36,2011,3,12,21779,13740,10474,0.48092198907204187,11305,0.6308829606501676
37,2011,3,5,19070,10702,6968,0.3653906659674882,12102,0.5611955951756686
38,2011,3,27,8781,3380,2680,0.3052044186311354,6101,0.38492199066165583
39,2011,3,29,8479,4112,2626,0.30970633329402053,5853,0.4849628493926171
40,2011,3,17,15345,9375,6747,0.4396871945259042,8598,0.6109481915933529
41,2011,3,13,16678,12879,7788,0.46696246552344406,8890,0.7722148938721669
42,2011,3,24,7007,2251,1969,0.28100470957613816,5038,0.32125017839303555
43,2011,3,14,21887,16476,11699,0.5345182071549321,10188,0.7527756202311875
44,2011,3,9,12671,7038,2741,0.21632073238102753,9930,0.5554415594664983
45,2011,3,8,6325,4346,2541,0.4017391304347826,3784,0.6871146245059289
46,2011,3,23,27332,16488,10669,0.3903483096736426,16663,0.6032489389726328
47,2011,3,11,15279,9490,6403,0.41907192879115124,8876,0.6211139472478565
48,2011,3,25,6103,3499,2589,0.42421759790267083,3514,0.5733245944617401
49,2011,3,19,14453,8345,5912,0.40905002421642567,8541,0.5773887774164533
50,2011,3,7,7046,4133,2786,0.39540164632415553,4260,0.5865739426625035
51,2011,3,22,27272,14865,10347,0.3794001173364623,16925,0.5450645350542681
52,2011,3,26,31765,17252,7991,0.25156618920195184,23774,0.5431134896899102
53,2011,3,6,13282,8200,5241,0.39459418762234605,8041,0.6173769010691161
54,2011,3,28,11932,3928,3158,0.2646664431780087,8774,0.32919879316124706
55,2011,3,15,27826,15402,11673,0.41949974843671384,16153,0.5535111047222022
56,2011,3,18,32180,17105,13712,0.42610316967060285,18468,0.5315413300186451
57,2011,3,16,13316,8627,6245,0.4689846800841093,7071,0.6478672273956143
58,2011,3,10,19335,14083,9506,0.4916472717869149,9829,0.7283682441168865
59,2011,3,30,4234,2477,1645,0.38852149267831837,2589,0.5850259801606046
60,2012,3,3,18176,14300,7383,0.4061949823943662,10793,0.7867517605633803
61,2012,3,4,20815,15314,7613,0.36574585635359114,13202,0.735719433101129
62,2012,3,1,43262,25629,11653,0.2693587906245666,31609,0.5924136655725579
63,2012,3,2,20040,16063,9752,0.486626746506986,10288,0.8015469061876247
64,2012,3,20,149510,174750,58725,0.39278309143201123,90785,1.1688181392548993
65,2012,3,21,23834,12374,5062,0.21238566753377527,18772,0.5191742888310816
66,2012,3,12,26709,19868,13871,0.5193380508442847,12838,0.7438691077913812
67,2012,3,5,17175,13964,8253,0.48052401746724893,8922,0.8130422125181951
68,2012,3,27,9942,8050,4159,0.41832629249647957,5783,0.8096962381814524
69,2012,3,29,10586,6474,3647,0.34451161911959194,6939,0.6115624409597582
70,2012,3,17,17510,14643,9151,0.522615648201028,8359,0.8362649914334666
71,2012,3,13,18913,16264,9289,0.4911436578015122,9624,0.8599376090519748
72,2012,3,24,8332,2636,1243,0.14918386941910705,7089,0.31637061929908783
73,2012,3,14,24829,21804,13405,0.5398928672117282,11424,0.8781666599540859
74,2012,3,9,19571,13789,7582,0.38740994328342954,11989,0.7045628736395687
75,2012,3,8,8169,7697,4489,0.5495164646835597,3680,0.9422205900355001
76,2012,3,23,32998,25543,15121,0.4582398933268683,17877,0.7740772168010183
77,2012,3,11,19014,15630,9108,0.4790154622909435,9906,0.8220258756705585
78,2012,3,25,8087,6581,4230,0.5230617039693335,3857,0.8137751947570174
79,2012,3,19,16320,10247,6225,0.38143382352941174,10095,0.6278799019607844
80,2012,3,7,9796,6900,4508,0.4601878317680686,5288,0.7043691302572479
81,2012,3,22,28787,20319,11201,0.3890992461875152,17586,0.7058394414145274
82,2012,3,26,33206,23816,9633,0.2900981750286093,23573,0.7172197795579113
83,2012,3,6,15284,10132,6174,0.4039518450667365,9110,0.662915467155195
84,2012,3,28,12758,10212,4806,0.37670481266656214,7952,0.8004389402727701
85,2012,3,15,31220,23424,13637,0.43680333119795,17583,0.7502882767456759
86,2012,3,18,37981,31163,19593,0.5158631947552724,18388,0.8204891919644033
87,2012,3,16,15988,12509,8047,0.5033149862396797,7941,0.782399299474606
88,2012,3,10,20025,16973,10366,0.5176529338327092,9659,0.8475905118601748
89,2012,3,30,5235,3917,2347,0.44832855778414515,2888,0.748233046800382
90,2013,3,3,21469,17224,9738,0.45358423773813406,11731,0.8022730448553729
91,2013,3,4,25607,21221,11864,0.4633108134494474,13743,0.8287187097278088
92,2013,3,1,56339,41657,21653,0.38433412023642594,34686,0.7393989953673299
93,2013,3,2,20352,17213,9906,0.48673349056603776,10446,0.8457645440251572
94,2013,3,20,168007,139047,73832,0.43945787973120165,94175,0.8276262298594701
95,2013,3,21,47249,26992,18322,0.38777540265402444,28927,0.5712713496581938
96,2013,3,12,33502,31098,19055,0.5687720136111277,14447,0.9282430899647782
97,2013,3,5,21670,17145,11060,0.5103830179972312,10610,0.791185971389017
98,2013,3,27,13468,10089,6390,0.47445797445797444,7078,0.7491089991089991
99,2013,3,29,13972,10372,6098,0.43644431720584026,7874,0.7423418265101632
100,2013,3,17,19433,16300,10047,0.5170071527813513,9386,0.8387793958729995
101,2013,3,13,19410,18359,10811,0.5569809376609994,8599,0.9458526532715096
102,2013,3,24,16691,9043,6684,0.4004553352105925,10007,0.5417889880774069
103,2013,3,14,24174,20262,12570,0.5199801439563168,11604,0.8381732439811368
104,2013,3,9,28020,21830,14148,0.5049250535331906,13872,0.7790863668807995
105,2013,3,8,8778,7342,4543,0.5175438596491229,4235,0.8364092048302575
106,2013,3,23,48621,38537,25129,0.5168342897102075,23492,0.7925999053906748
107,2013,3,11,21706,17834,10603,0.4884824472496084,11103,0.821616143001935
108,2013,3,25,12579,10925,7900,0.6280308450592257,4679,0.8685110104141823
109,2013,3,19,23609,18451,11617,0.49205811343131856,11992,0.7815239950866195
110,2013,3,7,12779,9899,6747,0.5279755849440488,6032,0.7746302527584318
111,2013,3,22,34408,26606,14181,0.4121425249941874,20227,0.7732504068821204
112,2013,3,26,43844,32762,15320,0.3494206732962321,28524,0.7472402153088222
113,2013,3,6,18388,15463,9002,0.48955840765716774,9386,0.8409288666521645
114,2013,3,28,15722,11261,6697,0.4259636178603231,9025,0.7162574736038672
115,2013,3,15,36857,34309,19462,0.5280408063597146,17395,0.9308679491005779
116,2013,3,18,41996,35358,23958,0.5704829031336318,18038,0.8419373273645109
117,2013,3,16,20487,18803,12925,0.6308878801190999,7562,0.91780153267926
118,2013,3,10,21467,19213,12033,0.5605347743047469,9434,0.8950016304094657
119,2013,3,30,5931,4542,2770,0.46703759905580844,3161,0.7658067779463834
120,2014,3,3,23548,20040,11506,0.48861899099711226,12042,0.8510276881263802
121,2014,3,4,27029,24731,14346,0.5307632542824374,12683,0.9149802064449295
122,2014,3,1,60486,56631,28111,0.4647521740568065,32375,0.9362662434282313
123,2014,3,2,25664,22642,13774,0.5367051122194514,11890,0.882247506234414
124,2014,3,20,200395,192594,106746,0.5326779610269717,93649,0.9610718830310138
125,2014,3,21,47990,43542,25054,0.52206709731194,22936,0.907314023754949
126,2014,3,12,36777,32089,21234,0.5773717268945264,15543,0.8725290262936074
127,2014,3,5,26341,21619,15119,0.5739721346949622,11222,0.8207357351657113
128,2014,3,27,15247,12644,7916,0.5191841017905162,7331,0.8292778907326032
129,2014,3,29,15381,12536,6884,0.44756517781678695,8497,0.8150315324101164
130,2014,3,17,20390,17410,10582,0.5189798921039726,9808,0.8538499264345267
131,2014,3,13,20627,18298,10739,0.5206283027100402,9888,0.8870897367527997
132,2014,3,24,26913,15987,10607,0.394121799873667,16306,0.5940251922862557
133,2014,3,14,26853,25572,14712,0.5478717461736119,12141,0.952295832867836
134,2014,3,9,32752,31229,20397,0.6227711284807035,12355,0.9534990229604299
135,2014,3,8,8688,8121,4846,0.557780847145488,3842,0.9347375690607734
136,2014,3,23,67065,68323,47071,0.7018713188697532,19994,1.0187579214195184
137,2014,3,11,23632,20938,13217,0.5592840216655383,10415,0.8860020311442113
138,2014,3,25,11191,9156,6098,0.5449021535162184,5093,0.8181574479492449
139,2014,3,19,23601,20379,12481,0.5288335240032203,11120,0.8634803610016525
140,2014,3,7,13251,9144,5963,0.4500037733001283,7288,0.6900611274620784
141,2014,3,22,36829,32948,17669,0.47975779956012926,19160,0.8946210866436776
142,2014,3,26,53362,43049,21773,0.40802443686518497,31589,0.8067351298676961
143,2014,3,6,25809,20733,12807,0.49622224805300474,13002,0.8033244217133558
144,2014,3,28,20018,15915,8852,0.44220201818363475,11166,0.7950344689779199
145,2014,3,15,42423,35999,25576,0.6028805129293072,16847,0.8485727082007402
146,2014,3,18,46757,39720,27100,0.5795923605021708,19657,0.8494984708172039
147,2014,3,16,20289,17837,12758,0.6288136428606634,7531,0.8791463354527084
148,2014,3,10,21976,20083,11888,0.5409537677466327,10088,0.9138605751729159
149,2014,3,30,8157,7092,4950,0.6068407502758367,3207,0.8694372931224715
150,2015,3,3,24080,21956,12844,0.5333887043189369,11236,0.9117940199335548
151,2015,3,4,30594,28216,17916,0.585605020592273,12678,0.9222723409818919
152,2015,3,1,64304,55061,27429,0.42655200298581736,36875,0.8562608857924857
153,2015,3,2,22448,19528,11751,0.5234764789736279,10697,0.8699215965787598
154,2015,3,20,227954,220348,139748,0.6130535107960378,88206,0.9666336190634953
155,2015,3,21,50353,35755,23245,0.4616408158401684,27108,0.7100867872817905
156,2015,3,12,37542,35754,22327,0.594720579617495,15215,0.95237334185712
157,2015,3,5,30787,23534,16387,0.5322701140091597,14400,0.7644135511741968
158,2015,3,27,14389,13695,7829,0.5440961845854472,6560,0.9517687122107166
