state_code,dist_code,court_no,mean_days,median_days
1.0,1.0,3.0,30.724679487179486,17.5
1.0,2.0,1.0,366.9065444359562,9.0
1.0,3.0,2.0,14.437819364257747,7.0
1.0,4.0,1.0,8.454072790294628,4.0
1.0,5.0,1.0,28.474505549528498,8.0
1.0,7.0,1.0,29.607012280866222,16.0
1.0,8.0,1.0,8.877059354547507,6.0
1.0,9.0,1.0,60.58572743244374,11.0
1.0,10.0,1.0,22.942535340765428,7.0
1.0,11.0,3.0,24.96021978021978,7.0
1.0,12.0,1.0,6.709006099748834,1.0
1.0,13.0,1.0,20.66995391705069,3.0
1.0,14.0,1.0,40.98440330046287,29.0
1.0,15.0,2.0,28.899464691647722,8.0
1.0,17.0,1.0,16.34714277780863,3.0
1.0,18.0,1.0,26.206721113937608,2.0
1.0,19.0,4.0,14.77240104860544,5.0
1.0,20.0,1.0,19.361409296163103,14.0
1.0,21.0,1.0,32.145253526496376,12.0
1.0,24.0,1.0,10.700238488350761,7.0
1.0,25.0,1.0,29.918780831571528,13.0
1.0,26.0,1.0,12.074192616301039,4.0
1.0,26.0,9.0,19.705256821829856,6.0
1.0,27.0,1.0,5.226990918616836,2.0
1.0,28.0,1.0,45.07276676622319,7.0
1.0,29.0,1.0,31.334716269501115,8.0
1.0,30.0,12.0,28.17341591233921,10.0
1.0,31.0,1.0,31.385522132550747,10.0
1.0,31.0,17.0,77.7160542346237,29.0
1.0,32.0,1.0,48.29461800185586,29.0
1.0,33.0,1.0,8.417277913610432,5.0
1.0,34.0,1.0,32.341538889468374,9.0
1.0,35.0,13.0,14.038609078638915,6.0
1.0,36.0,1.0,49.33486366165832,8.5
1.0,8.0,11.0,22.76896551724138,8.0
1.0,37.0,2.0,8.581048482629392,2.0
1.0,41.0,17.0,409.9089075630252,87.0
1.0,1.0,7.0,34.23872486868321,22.0
1.0,20.0,9.0,39.961832061068705,7.0
1.0,21.0,25.0,22.4219285029448,6.0
1.0,21.0,28.0,18.483870967741936,5.0
1.0,25.0,4.0,23.047902595094204,8.0
1.0,28.0,11.0,101.59859154929578,28.0
1.0,28.0,12.0,114.564477713508,24.0
1.0,28.0,13.0,119.80842584685455,42.0
1.0,31.0,7.0,52.122722540343574,32.0
1.0,36.0,9.0,115.31575037147103,28.0
1.0,25.0,24.0,26.028853817949944,14.0
1.0,30.0,21.0,31.73632909301173,24.0
1.0,1.0,1.0,60.41888433981576,31.0
1.0,2.0,2.0,41.9022869022869,28.0
1.0,3.0,3.0,41.07191265060241,3.0
1.0,4.0,2.0,31.29811226194454,28.0
1.0,5.0,2.0,221.26760996616426,37.0
1.0,7.0,2.0,128.6199233716475,2.0
1.0,8.0,2.0,10.806389313591374,3.0
1.0,9.0,2.0,29.301092225921384,17.0
1.0,10.0,2.0,48.20916120717431,11.0
1.0,11.0,4.0,160.76444948130066,69.0
1.0,12.0,2.0,10.932975871313673,1.0
1.0,13.0,2.0,81.33405811425183,38.0
1.0,14.0,2.0,28.67013793960482,30.0
1.0,17.0,2.0,70.61946902654867,73.0
1.0,18.0,2.0,32.47995393670562,30.0
1.0,19.0,3.0,11.623550475714612,8.0
1.0,20.0,3.0,38.87853502908865,37.0
1.0,21.0,2.0,67.08988015978694,63.0
1.0,24.0,2.0,83.11550550026192,30.0
1.0,26.0,2.0,9.78113111346433,5.0
1.0,27.0,2.0,4.694534844574122,1.0
1.0,28.0,2.0,32.835801483846176,28.0
1.0,29.0,2.0,25.622229620469895,10.0
1.0,31.0,3.0,26.15619610741562,12.0
