,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
70,2014,1,7,14,IPC,122,977.5,907.2213114754098,28,46,44,4,0
71,2014,1,7,15,IPC,235,866.0,806.5446808510638,61,101,71,2,0
72,2014,1,7,16,IPC,126,744.5,710.5079365079365,38,58,28,2,0
73,2014,1,7,17,IPC,393,760.0,725.4554707379135,128,169,91,5,0
74,2014,1,8,1,IPC,799,20.0,311.5544430538173,563,150,86,0,0
75,2014,1,8,2,IPC,737,560.0,730.1519674355495,243,260,233,1,0
76,2014,1,8,4,IPC,342,1089.5,991.0672514619883,61,112,160,9,0
77,2014,1,8,5,IPC,72,680.5,654.2638888888889,23,38,11,0,0
78,2014,1,8,6,IPC,192,637.0,748.6510416666666,52,82,58,0,0
79,2014,1,8,7,IPC,137,756.0,772.1605839416059,33,72,30,2,0
80,2014,1,8,8,IPC,51,438.0,466.0,21,27,3,0,0
81,2014,1,8,9,IPC,210,948.5,893.1,43,79,85,3,0
82,2014,1,8,10,IPC,209,802.0,783.8564593301436,48,97,63,1,0
83,2014,1,9,1,IPC,626,645.0,671.5431309904153,211,284,130,1,0
84,2014,1,9,2,IPC,2305,595.0,650.4967462039045,904,869,523,9,0
85,2014,1,9,4,IPC,94,57.0,366.7659574468085,68,13,13,0,0
86,2014,1,9,6,IPC,145,269.0,309.26206896551724,98,45,2,0,0
87,2014,1,9,7,IPC,137,651.0,713.8905109489051,49,45,43,0,0
88,2014,1,9,9,IPC,207,999.0,943.512077294686,38,81,85,3,0
89,2014,1,9,10,IPC,171,641.0,696.46783625731,61,60,47,3,0
90,2014,1,9,11,IPC,234,498.5,569.2991452991453,91,107,36,0,0
91,2014,1,9,12,IPC,135,527.0,624.9925925925926,55,55,23,2,0
92,2014,1,9,13,IPC,204,245.0,321.6078431372549,138,63,3,0,0
93,2014,1,9,14,IPC,75,133.0,234.21333333333334,59,16,0,0,0
94,2014,1,9,15,IPC,119,754.0,762.2941176470588,33,53,32,1,0
95,2014,1,9,16,IPC,169,636.0,719.6923076923077,40,87,41,1,0
96,2014,1,9,17,IPC,144,797.5,780.1875,44,49,50,1,0
97,2014,1,9,18,IPC,247,352.0,457.1012145748988,128,96,21,2,0
98,2014,1,10,1,IPC,45,694.0,691.1333333333333,10,29,6,0,0
99,2014,1,10,2,IPC,444,641.5,716.490990990991,130,208,104,2,0
100,2014,1,10,4,IPC,96,1208.0,1124.4895833333333,5,31,60,0,0
101,2014,1,10,5,IPC,171,687.0,783.5204678362574,31,99,38,3,0
102,2014,1,10,6,IPC,87,330.0,492.2068965517241,44,30,13,0,0
103,2014,1,10,7,IPC,105,985.0,910.4666666666667,18,42,43,2,0
104,2014,1,10,8,IPC,56,1339.5,1313.2857142857142,0,11,45,0,0
105,2014,1,10,9,IPC,76,1285.0,1255.1842105263158,0,23,52,1,0
106,2014,1,11,1,IPC,157,1086.0,950.343949044586,41,38,73,5,0
107,2014,1,11,2,IPC,123,688.0,793.30081300813,35,45,43,0,0
108,2014,1,11,3,IPC,142,868.5,890.9366197183099,24,69,49,0,0
109,2014,1,11,4,IPC,345,1051.0,968.127536231884,59,127,154,5,0
110,2014,1,11,5,IPC,1,108.0,108.0,1,0,0,0,0
111,2014,1,11,6,IPC,215,1001.0,986.0139534883721,25,92,96,2,0
112,2014,1,11,7,IPC,81,1003.0,883.1604938271605,21,26,30,4,0
113,2014,1,11,8,IPC,80,939.0,929.2375,9,45,24,2,0
114,2014,1,12,1,IPC,125,696.0,693.824,28,79,17,1,0
115,2014,1,12,2,IPC,176,184.5,253.9090909090909,139,35,2,0,0
116,2014,1,12,4,IPC,123,600.0,736.560975609756,44,38,40,1,0
117,2014,1,12,5,IPC,56,579.0,657.5535714285714,17,29,10,0,0
118,2014,1,12,6,IPC,48,919.0,804.0416666666666,11,25,11,1,0
119,2014,1,12,7,IPC,93,635.0,658.752688172043,35,33,25,0,0
120,2014,1,12,8,IPC,71,201.0,279.15492957746477,50,18,3,0,0
121,2014,1,12,9,IPC,44,269.5,398.6818181818182,25,17,2,0,0
122,2014,1,12,10,IPC,79,872.0,808.8860759493671,19,41,17,2,0
123,2014,1,12,11,IPC,7,497.0,683.5714285714286,3,2,2,0,0
124,2014,1,12,12,IPC,2,266.0,266.0,2,0,0,0,0
125,2014,1,13,1,IPC,206,698.5,745.995145631068,49,112,44,1,0
126,2014,1,13,2,IPC,718,652.0,675.3830083565459,251,300,166,1,0
127,2014,1,13,4,IPC,104,924.5,899.0,17,42,44,1,0
128,2014,1,13,5,IPC,97,1010.0,1005.1958762886597,14,39,44,0,0
129,2014,1,13,6,IPC,161,1113.0,1020.5527950310559,19,58,83,1,0
130,2014,1,13,7,IPC,98,1128.5,1067.8979591836735,9,34,55,0,0
131,2014,1,13,8,IPC,96,864.0,854.3854166666666,13,58,25,0,0
132,2014,1,13,9,IPC,322,1133.0,983.7701863354038,57,101,164,0,0
133,2014,1,13,10,IPC,89,674.0,679.9213483146067,26,48,15,0,0
