state_code,state_name,district_name,dist_code,court_no,court_name
26,Delhi,Shahdara,2,1,District and Sessions Judge
26,Delhi,East,3,1,District and Sessions Judge
26,Delhi,North,4,1,District and Sessions Judge
26,Delhi,North West,5,1,District and Sessions Judge
26,Delhi,South West,6,1,District and Sessions Judge
26,Delhi,New Delhi,7,1,District and Sessions Judge
26,Delhi,Central,8,1,District and Sessions Judge
26,Delhi,West,9,1,District and Sessions Judge
26,Delhi,South,10,1,District and Sessions Judge
26,Delhi,South East,11,1,District and Sessions Judge
31,Diu and Daman,Diu,1,1,DISTRICT AND SESSIONS COURT
31,Diu and Daman,Daman,2,1,DISTRICT AND SESSIONS COURT
32,DNH at Silvasa,Silvassa,1,1,PRINCIPAL DISTRICT AND SESSIONS COURT AT
30,Goa,North Goa,1,1,DISTRICT AND SESSIONS COURT PANAJI
30,Goa,South Goa,2,1,DISTRICT AND SESSIONS COURT MARGAO
17,Gujarat,GANDHINAGAR,11,1,Gandhinagar District
17,Gujarat,Ahmedabad,13,1,AHMEDABAD DISTRICT COURT
17,Gujarat,SURAT,14,1,District Court
17,Gujarat,Mahesana,15,1,DISTRICT COURT
17,Gujarat,RAJKOT,16,1,DISTRICT COURT - RAJKOT
17,Gujarat,Amreli,17,1,DISTRICT AND SESSIONS COURT AMRELI
17,Gujarat,Anand,18,1,DISTRICT COURT
17,Gujarat,Banaskanth at Palanpur,19,1,DISTRICT AND SESSION COURT PALANPUR
17,Gujarat,Bharuch,20,1,DISTRICT COURT
17,Gujarat,Bhavnagar,21,1,bhavnagar_district Court
17,Gujarat,Dahod,22,1,dahod_district
17,Gujarat,Jamnagar,23,1,DISTRICT AND SESSIONS COURT
17,Gujarat,Junagadh,24,1,DISTRICT COURT
17,Gujarat,Kheda at Nadiad,25,1,DISTRICT COURT
17,Gujarat,kachchh at Bhuj,26,1,District and Sessions Court Bhuj
17,Gujarat,Panchmahal at Godhra,27,1,District Court
17,Gujarat,Patan,28,1,DISTRICT AND SESSIONS COURT PATAN
17,Gujarat,Sabarkantha at Himmatnagar,29,1,DISTRICT AND SESSIONS COURT
17,Gujarat,Surendranagar,30,1,District Court
17,Gujarat,Vadodara,31,1,vadodara_district Court
17,Gujarat,Navsari,32,1,navsari_district Court
17,Gujarat,Narmada,33,1,DISTRICT COURT
17,Gujarat,Tapi,34,1,tapi_district Court
17,Gujarat,Valsad,35,1,valsad_district Court
17,Gujarat,Porbandar,36,1,DISTRICT AND SESSIONS COURT
17,Gujarat,Gir Somnath at Veraval,37,1,District Court Veraval
17,Gujarat,Aravalli at Modasa,38,7,Principal District Court Arvalli
17,Gujarat,MORBI,39,1,District  Court - Morbi
17,Gujarat,Devbhumi Dwarka at Khambhaliya,40,1,DISTRICT COURT DEVBHUMI DWARKA
17,Gujarat,Chhota Udepur,41,1,DISTRICT COURT
17,Gujarat,Mahisagar at Lunawada,42,3,DISTRICT COURT
17,Gujarat,BOTAD,43,1,botad_district
14,Haryana,Sirsa,2,1,District and Sessions Courts
14,Haryana,Ambala,3,1,District and Sessions Court
14,Haryana,Faridabad,5,1,District and Sessions Courts
14,Haryana,Gurugram,6,1,District and Sessions Court
14,Haryana,Jhajjar,8,1,District and Sessions Courts
14,Haryana,Jind,9,1,District and Sessions Court
14,Haryana,Kurukshetra,10,1,District  and Sessions Court
14,Haryana,Rohtak,12,1,District and Sessions Court Rohtak
14,Haryana,Kaithal,16,1,District & Session Judge
14,Haryana,Panipat,18,1,District and Sessions Court Panipat
14,Haryana,Karnal,1,1,District and Sessions Courts
14,Haryana,Bhiwani,4,12,DISTRICT AND SESSIONS COURTS
14,Haryana,Hisar,7,2,District and Sessions Court
14,Haryana,Sonepat,13,1,District and Sessions Courts
14,Haryana,Rewari,17,1,District and Sessions Court
14,Haryana,Narnaul,11,1,District and Sessions Courts
