,state_code,dist_code,court_no,state_name,district_name,court_name,median_decision_days
60,1,31,1,Maharashtra,Satara,DISTRICT  SESSIONS COURT SATARA.,217.0
61,1,31,7,Maharashtra,Satara,ADDITIONAL DISTRICT AND SESSIONS JUDGE KARAD,546.0
62,1,31,17,Maharashtra,Satara,District and Sessions Court,64.0
63,1,32,1,Maharashtra,Ratnagiri,PRINCIPAL DISTRICT  SESSIONS JUDGE RATNAGIRI.,332.0
64,1,32,8,Maharashtra,Ratnagiri,District Court-1 Addl. Session Court,258.0
65,1,33,1,Maharashtra,Sindhudurg,District and Sessions Court Sindhudurg,186.0
66,1,34,7,Maharashtra,Kolhapur,DISTRICT JUDGE-1  ADDL SESSIONS COURT,376.0
67,1,34,11,Maharashtra,Kolhapur,DISTRICT COURT,54.0
68,1,34,12,Maharashtra,Kolhapur,District Court 1 and ASJ Jaysingpur,298.0
69,1,35,9,Maharashtra,Sangli,DISTRICT AND ADDITIONAL SESSIONS COURT ISLAMPUR,199.0
70,1,35,13,Maharashtra,Sangli,DISTRICT AND SESSIONS COURT SANGLI,142.0
71,1,36,1,Maharashtra,Washim,Principal District and Sessions Court,161.0
72,1,36,9,Maharashtra,Washim,Additional District and Sessions Court,95.0
73,1,41,17,Maharashtra,Mah State Cooperative Appellat,THE DISTRICT CO-OPERATIVE,423.0
74,2,2,1,Andhra Pradesh,Ananthapur,District Court Complex,93.0
75,2,2,16,Andhra Pradesh,Ananthapur,II Addl.District Judges Court,98.0
76,2,2,26,Andhra Pradesh,Ananthapur,VI Addl.District Judge Court,379.0
77,2,3,1,Andhra Pradesh,Chittoor,PRINCIPAL DISTRICT AND SESSIONS JUDGE,393.0
78,2,3,5,Andhra Pradesh,Chittoor,ADDITIONAL DISTRICT JUDGE,609.0
79,2,3,19,Andhra Pradesh,Chittoor,II Additional District Court,428.0
80,2,4,1,Andhra Pradesh,East Godavari,Prl. District Court,221.0
81,2,4,6,Andhra Pradesh,East Godavari,II Addl. Dist. and Sessions Court,689.5
82,2,4,22,Andhra Pradesh,East Godavari,XII Addl. District and Sessions Judges,964.5
83,2,4,34,Andhra Pradesh,East Godavari,VII ADDL. DISTRICT AND SESSIONS COURT,1003.0
84,2,5,1,Andhra Pradesh,Guntur,District Court,124.0
85,2,5,17,Andhra Pradesh,Guntur,DISTRICT COURT TENALI,541.0
86,2,5,23,Andhra Pradesh,Guntur,Addl District Judges Court,533.0
87,2,5,32,Andhra Pradesh,Guntur,X ADDL. DISTRICT COURT,657.0
88,2,7,1,Andhra Pradesh,Kadapa,District and Sessions Courts,365.0
89,2,7,14,Andhra Pradesh,Kadapa,V Additional District Judge Court,642.0
90,2,7,15,Andhra Pradesh,Kadapa,II Additional District  Court,991.5
91,2,7,27,Andhra Pradesh,Kadapa,III Additional District Judge Court,851.0
92,2,10,1,Andhra Pradesh,Kurnool,Prl.District and Sessions Court,410.0
93,2,10,6,Andhra Pradesh,Kurnool,II ADDITIONAL DISTRICT JUDGE,724.0
94,2,10,15,Andhra Pradesh,Kurnool,III Addl.District Court Complex,374.0
95,2,10,30,Andhra Pradesh,Kurnool,V Addl.District Court Complex,849.0
96,2,11,1,Andhra Pradesh,Krishna,II Additional District Judge,383.0
97,2,11,6,Andhra Pradesh,Krishna,Prl. District Court,252.0
98,2,11,19,Andhra Pradesh,Krishna,XI Addl District Court,964.0
99,2,11,23,Andhra Pradesh,Krishna,XV ADDITIONAL DISTRICT AND SESSIONS COURT,557.0
100,2,15,1,Andhra Pradesh,Nellore,District and Sessions Courts,641.0
101,2,15,10,Andhra Pradesh,Nellore,VII Addl. District and Session Court,1158.0
102,2,17,1,Andhra Pradesh,Prakasham,PRL. DISTRICT JUDGE COURT,66.0
103,2,17,22,Andhra Pradesh,Prakasham,VI Addl District and Sessions Court,397.0
104,2,19,1,Andhra Pradesh,Srikakulam,Prl. District Court,584.0
105,2,19,13,Andhra Pradesh,Srikakulam,VI Addl.District and Sessions Judge Court,743.0
106,2,20,1,Andhra Pradesh,Visakapatnam,PRINCIPAL DISTRICT  AND SESSIONS JUDGE,402.0
107,2,20,6,Andhra Pradesh,Visakapatnam,X Addl District and Session Judges Court,485.0
108,2,20,10,Andhra Pradesh,Visakapatnam,XIII ADDITIONAL DISTRICT JUDGE COURT AT,741.5
109,2,20,24,Andhra Pradesh,Visakapatnam,Additional District Court,497.0
110,2,21,1,Andhra Pradesh,Vizianagaram,PRINCIPAL DISTRICT JUDGE COURT,484.0
111,2,21,17,Andhra Pradesh,Vizianagaram,II Additional District and Sessions Court,369.5
112,2,23,1,Andhra Pradesh,West Godavari,Principal District and Sessions Court,183.0
113,2,23,6,Andhra Pradesh,West Godavari,III ADDL DISTRICT COURT BHIMAVARAM,504.0
114,2,23,13,Andhra Pradesh,West Godavari,X ADDL DISTRICT COURT NARSAPUR,784.0
115,2,23,20,Andhra Pradesh,West Godavari,IX Additional District and Sessions,374.0
116,2,23,23,Andhra Pradesh,West Godavari,ADDITIONAL DISTRICT COURT TANUKU,481.0
117,3,1,1,Karnataka,BELAGAVI,Prl.  District and Session Judge,139.0
118,3,2,1,Karnataka,BAGALKOT,PRL. DISTRICT AND SESSION JUDGE,21.0
119,3,3,1,Karnataka,VIJAYAPURA,PRL. DISTRICT AND SESSIONS COURT,43.0
120,3,4,1,Karnataka,KALABURAGI,Prl Dist and Sessions Court Kalaburagi,30.0
121,3,5,1,Karnataka,BIDAR,District and Sessions Court,83.0
122,3,6,1,Karnataka,RAICHUR,PRL DISTRICT AND SESSIONS JUDGE,70.0
123,3,8,1,Karnataka,GADAG,Prl District and Sessions Judge,39.0
124,3,9,1,Karnataka,DHARWAD,PRL. DISTRICT AND SESSIONS JUDGE,37.0
125,3,10,1,Karnataka,UTTARA KANNADA,PRL. DISTRICT AND SESSIONS JUDGE COURT,22.0
126,3,10,18,Karnataka,UTTARA KANNADA,1st ADDL. Dist AND SESSIONS JUDGE,258.5
127,3,11,1,Karnataka,HAVERI,Prl District and Sessions Judge,10.0
128,3,11,13,Karnataka,HAVERI,II Addl District and Sessions Judge,432.0
129,3,12,1,Karnataka,BALLARI,PRL DISTRICT AND SESSIONS JUDGE,42.0
130,3,12,16,Karnataka,BALLARI,III ADDL DISTRICT AND SESSIONS JUDGE,39.0
131,3,13,1,Karnataka,CHITRADURGA,Prl. District and Sessions Judge,29.0
132,3,14,1,Karnataka,DAVANGERE,PRL DISTRICT AND SESSION JUDGE,21.0
133,3,15,1,Karnataka,SHIVAMOGGA,Prl. District and Sessions Judge.,17.0
