,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
76,1.0,35.0,12.0,25177.0,16708.0,433.0,624.9145918123055
77,1.0,23.0,1.0,44471.0,39321.0,431.0,564.0120800590015
78,1.0,23.0,3.0,18795.0,14652.0,419.0,614.4608927108927
79,1.0,23.0,6.0,56627.0,51838.0,418.0,576.1539797060071
80,1.0,23.0,9.0,47678.0,42938.0,496.0,661.523312683404
81,1.0,23.0,10.0,90622.0,79389.0,232.0,360.45741853405383
82,1.0,23.0,15.0,19807.0,18097.0,508.0,783.2294855500912
83,2.0,2.0,1.0,20717.0,20692.0,88.0,298.1144403634255
84,2.0,3.0,1.0,8377.0,8374.0,390.0,574.74038691187
85,2.0,4.0,1.0,20806.0,19536.0,217.5,364.6954340704341
86,2.0,5.0,1.0,42191.0,38581.0,123.0,342.14393095046785
87,2.0,5.0,17.0,2165.0,2165.0,541.0,631.4725173210162
88,2.0,7.0,1.0,10870.0,10865.0,372.0,499.97091578462954
89,2.0,10.0,1.0,10305.0,10304.0,408.0,545.7132181677018
90,2.0,11.0,6.0,11621.0,11491.0,242.0,443.71682186058655
91,2.0,15.0,1.0,12195.0,12179.0,643.0,757.987355283685
92,2.0,17.0,1.0,19804.0,18605.0,66.0,297.7024455791454
93,2.0,19.0,1.0,7358.0,7357.0,578.0,704.0936523039283
94,2.0,20.0,1.0,24471.0,24451.0,406.0,612.8912109934154
95,2.0,21.0,1.0,6215.0,6213.0,474.0,566.890552068244
96,2.0,23.0,1.0,17136.0,17133.0,184.0,406.3032743827701
97,2.0,2.0,16.0,3682.0,3682.0,96.0,432.90005431830525
98,2.0,2.0,26.0,1743.0,1743.0,375.0,442.81755593803786
99,2.0,3.0,5.0,9636.0,9632.0,640.0,815.7694144518273
100,2.0,3.0,19.0,1744.0,1744.0,429.5,616.9552752293578
101,2.0,4.0,3.0,22828.0,22806.0,361.0,519.2504604051566
102,2.0,4.0,6.0,1973.0,1973.0,688.0,853.0866700456158
103,2.0,4.0,22.0,1137.0,1137.0,965.0,1010.8698328935795
104,2.0,4.0,34.0,122.0,122.0,999.5,1080.7704918032787
105,2.0,5.0,23.0,2606.0,2605.0,534.0,724.0057581573897
106,2.0,5.0,32.0,718.0,718.0,724.0,819.2479108635098
107,2.0,7.0,14.0,1086.0,1086.0,642.0,774.5662983425415
108,2.0,7.0,15.0,2094.0,2094.0,1001.5,1147.6914995224452
109,2.0,7.0,27.0,784.0,784.0,861.5,995.7551020408164
110,2.0,10.0,6.0,1707.0,1706.0,739.0,855.4830011723329
111,2.0,10.0,15.0,2988.0,2988.0,342.5,526.7085006693441
112,2.0,10.0,30.0,815.0,815.0,872.0,968.4846625766871
113,2.0,11.0,1.0,23228.0,23215.0,367.0,555.0192978677579
114,2.0,11.0,19.0,1698.0,1698.0,964.0,1089.9358068315667
115,2.0,11.0,23.0,1704.0,1704.0,557.0,664.8356807511738
116,2.0,15.0,10.0,957.0,957.0,1158.0,1305.2800417972833
117,2.0,17.0,22.0,1403.0,1401.0,397.0,539.4025695931477
118,2.0,19.0,13.0,432.0,432.0,749.0,847.8587962962963
119,2.0,20.0,6.0,2479.0,2479.0,486.0,646.3929003630496
120,2.0,20.0,10.0,987.0,987.0,728.0,851.8530901722391
121,2.0,20.0,24.0,55.0,55.0,317.0,630.1272727272727
122,2.0,21.0,17.0,216.0,216.0,369.5,514.6203703703703
123,2.0,23.0,6.0,1942.0,1942.0,505.0,688.8661174047373
124,2.0,23.0,13.0,1456.0,1456.0,783.5,944.2259615384615
125,2.0,23.0,20.0,5418.0,5414.0,379.0,561.6771333579609
126,2.0,23.0,23.0,808.0,808.0,537.5,773.2450495049505
127,2.0,3.0,23.0,103.0,103.0,591.0,776.5922330097087
128,2.0,11.0,28.0,628.0,628.0,516.0,608.843949044586
129,2.0,4.0,31.0,1622.0,1620.0,233.5,329.61728395061726
130,2.0,11.0,5.0,38357.0,37780.0,463.0,614.560878771837
131,2.0,20.0,11.0,6125.0,6096.0,812.5,931.4670275590552
132,3.0,1.0,1.0,53707.0,52965.0,76.0,249.81450014160293
133,3.0,2.0,1.0,10673.0,8202.0,17.0,196.84284320897342
134,3.0,3.0,1.0,27456.0,27301.0,32.0,222.86982161825574
135,3.0,4.0,1.0,28531.0,28293.0,31.0,230.41642809175414
136,3.0,5.0,1.0,12005.0,11991.0,37.0,216.2886331415228
137,3.0,6.0,1.0,14052.0,14014.0,23.0,166.773298130441
138,3.0,7.0,1.0,7927.0,7791.0,33.0,170.77769220895905
139,3.0,8.0,1.0,12441.0,12378.0,31.0,267.5922604621102
140,3.0,9.0,1.0,21372.0,20980.0,23.0,178.35305052430886
141,3.0,10.0,1.0,10122.0,9012.0,23.0,238.2561029738127
142,3.0,11.0,1.0,25652.0,24803.0,9.0,98.94057170503568
143,3.0,12.0,1.0,27097.0,26529.0,32.0,183.62463718949076
144,3.0,13.0,1.0,25414.0,20092.0,23.0,189.97262592076447
145,3.0,14.0,1.0,19933.0,18579.0,17.0,186.4120781527531
146,3.0,15.0,1.0,26400.0,25892.0,14.0,156.534991503167
147,3.0,16.0,1.0,14991.0,14555.0,15.0,129.80123668842322
148,3.0,17.0,1.0,275.0,274.0,396.5,415.66423357664235
149,3.0,18.0,1.0,38727.0,30431.0,15.0,187.31987118399002
150,3.0,19.0,1.0,16821.0,16126.0,21.0,243.0142006697259
151,3.0,21.0,1.0,23246.0,22136.0,17.0,234.3157300325262
152,3.0,22.0,1.0,28946.0,28109.0,9.0,110.27087409726423
153,3.0,23.0,1.0,37577.0,37359.0,25.0,199.96182981343185
154,3.0,24.0,17.0,19336.0,19011.0,33.0,249.0037872810478
155,3.0,25.0,1.0,4113.0,4097.0,14.0,98.17427385892117
156,3.0,26.0,3.0,38679.0,38473.0,48.0,240.39874717334234
157,3.0,28.0,1.0,13026.0,12620.0,15.0,164.76727416798732
158,3.0,29.0,1.0,15951.0,13394.0,21.0,173.71464835000748
159,3.0,30.0,1.0,8163.0,7954.0,14.0,117.64269549911994
160,3.0,27.0,1.0,9659.0,9602.0,30.0,240.39637575505103
161,3.0,20.0,3.0,113817.0,113584.0,100.0,297.1821647415129
162,3.0,20.0,7.0,14769.0,14712.0,28.0,250.1380505709625
163,3.0,10.0,18.0,1000.0,973.0,27.0,138.70503597122303
164,3.0,11.0,13.0,3291.0,3290.0,434.0,564.0446808510638
165,3.0,12.0,16.0,4101.0,4074.0,35.0,184.6958762886598
166,3.0,16.0,7.0,2400.0,2399.0,432.0,490.2009170487703
167,3.0,18.0,22.0,3638.0,3634.0,38.0,255.33957072096862
168,3.0,18.0,23.0,1969.0,1954.0,30.0,246.05220061412487
169,3.0,21.0,5.0,2302.0,2296.0,32.0,223.20688153310104
170,3.0,21.0,13.0,4067.0,3964.0,16.0,130.80196770938446
171,3.0,21.0,18.0,3871.0,3843.0,14.0,201.10278428311216
172,3.0,22.0,18.0,5780.0,5761.0,19.0,172.16090956431177
173,3.0,24.0,9.0,3112.0,3111.0,115.0,253.0748955319833
174,3.0,25.0,8.0,273.0,273.0,546.0,750.8168498168499
175,3.0,27.0,8.0,1817.0,1812.0,36.0,398.61423841059604
176,3.0,29.0,7.0,1602.0,1595.0,56.0,303.94670846394985
177,3.0,7.0,11.0,1.0,1.0,912.0,912.0
178,3.0,15.0,13.0,2513.0,2512.0,24.0,200.67237261146497
179,3.0,15.0,18.0,1767.0,1764.0,28.0,246.53571428571428
180,3.0,28.0,7.0,1799.0,1793.0,20.0,207.28890128276632
181,3.0,21.0,14.0,53157.0,32759.0,61.0,205.40446900088526
182,3.0,20.0,2.0,400678.0,293816.0,135.0,308.03465774498324
183,3.0,20.0,8.0,65237.0,58406.0,197.0,314.9318734376605
184,4.0,1.0,1.0,9698.0,9675.0,286.0,402.39834625323
185,4.0,2.0,1.0,46665.0,46441.0,17.0,159.52221097736913
186,4.0,3.0,1.0,19052.0,19035.0,377.0,632.6862621486734
187,4.0,4.0,1.0,34535.0,34469.0,84.0,400.4507528503873
188,4.0,5.0,1.0,22583.0,22556.0,232.0,338.49835963823375
189,4.0,6.0,1.0,14826.0,14221.0,330.0,578.8081710146965
190,4.0,7.0,1.0,11480.0,11247.0,247.0,334.26051391482173
191,4.0,8.0,1.0,19021.0,19014.0,561.0,637.7098453770906
192,4.0,9.0,1.0,29007.0,28969.0,155.0,383.47450723186853
193,4.0,10.0,1.0,21531.0,21490.0,159.0,370.76435551419263
