state_code,dist_code,court_no,avg_yearly_rank
10,8,9,16.80
10,9,5,22.80
3,22,1,26.25
10,3,12,30.80
17,35,1,32.88
17,36,1,45.66
3,16,1,59.88
3,11,1,65.88
3,18,1,70.44
3,28,1,70.88
6,19,1,78.25
17,32,1,81.00
13,50,3,81.00
4,2,1,81.22
3,14,1,84.55
