year,state_code,dist_code,court_no,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
2010,8.0,2.0,2.0,50,2308.0,2387.9,0,0,5,45,0
2010,8.0,5.0,3.0,13,2908.0,2531.3076923076924,0,0,3,10,0
2010,8.0,19.0,2.0,109,2620.0,2508.743119266055,0,0,9,100,0
2010,16.0,18.0,3.0,74,2985.5,2790.689189189189,1,0,5,62,6
2010,8.0,35.0,1.0,9,3273.0,3277.777777777778,0,0,0,9,0
2010,11.0,17.0,2.0,2,3009.5,3009.5,0,0,0,2,0
2010,13.0,8.0,2.0,212,1950.5,1913.9103773584907,6,22,57,127,0
2010,3.0,28.0,7.0,9,1956.0,1748.3333333333333,0,0,4,5,0
2010,16.0,3.0,6.0,6,2622.0,2626.6666666666665,0,0,0,6,0
2010,8.0,4.0,2.0,159,2098.0,2186.7672955974845,0,0,46,113,0
2010,17.0,11.0,1.0,1898,376.5,686.6981032665964,938,590,121,249,0
2010,13.0,37.0,2.0,17,2371.0,2360.9411764705883,0,0,0,17,0
2010,6.0,15.0,1.0,40,1618.5,1632.5,0,15,9,16,0
2010,21.0,1.0,2.0,92,183.0,485.8695652173913,59,22,5,6,0
2010,9.0,6.0,8.0,23,2767.0,2665.9565217391305,0,0,1,22,0
2010,3.0,29.0,1.0,1019,24.0,159.2325809617272,925,38,39,17,0
2010,29.0,1.0,1.0,814,636.5,863.0859950859951,211,351,154,98,0
2010,8.0,31.0,1.0,155,2248.0,2276.367741935484,0,0,50,105,0
2010,13.0,11.0,2.0,3,2874.0,2853.3333333333335,0,0,0,3,0
2010,11.0,1.0,4.0,11,2739.0,2663.2727272727275,0,0,1,10,0
2010,16.0,4.0,2.0,17,2156.0,2273.0,0,0,3,14,0
2010,9.0,30.0,18.0,3,2093.0,2252.0,0,0,0,3,0
2010,16.0,21.0,5.0,46,2058.5,2052.978260869565,0,1,10,35,0
2010,13.0,38.0,3.0,10,2078.0,2222.1,0,0,0,10,0
2010,8.0,26.0,1.0,419,2007.0,2016.143198090692,0,4,147,268,0
2010,3.0,19.0,1.0,449,307.0,642.011135857461,234,115,42,58,0
2010,6.0,13.0,1.0,163,1168.0,1266.276073619632,0,67,73,23,0
2010,6.0,2.0,2.0,135,805.0,985.1037037037037,7,86,29,13,0
2010,7.0,15.0,1.0,135,2009.0,1959.3777777777777,0,24,29,82,0
2010,16.0,1.0,2.0,4,3024.0,2921.5,0,0,0,4,0
2010,13.0,5.0,2.0,24,2700.0,2534.0,0,0,1,23,0
2010,16.0,17.0,2.0,3,1877.0,1883.3333333333333,0,0,0,3,0
2010,10.0,5.0,5.0,316,2432.5,2325.740506329114,0,0,72,244,0
2010,13.0,66.0,3.0,289,2336.0,2288.4740484429067,1,5,38,245,0
2010,7.0,13.0,1.0,63,2688.0,2638.2380952380954,0,1,1,61,0
2010,6.0,4.0,2.0,158,590.0,727.5949367088608,31,99,26,2,0
2010,3.0,13.0,1.0,452,26.5,134.64823008849558,405,39,5,3,0
2010,6.0,1.0,4.0,166,1101.5,1169.8614457831325,27,55,51,33,0
2010,8.0,33.0,1.0,14,3151.0,3185.714285714286,0,0,0,14,0
2010,17.0,19.0,1.0,850,604.5,1071.0035294117647,280,235,110,225,0
2010,3.0,10.0,1.0,562,525.0,832.0160142348755,188,216,98,60,0
2010,3.0,9.0,1.0,275,167.0,446.4981818181818,165,75,16,19,0
2010,13.0,38.0,2.0,22,2619.5,2513.5454545454545,0,0,2,20,0
2010,3.0,6.0,1.0,15,506.0,735.4666666666667,7,3,4,1,0
2010,7.0,3.0,1.0,29,2913.0,2862.2413793103447,0,0,0,29,0
2010,7.0,19.0,1.0,753,24.0,460.7861885790173,584,9,66,94,0
2010,16.0,2.0,3.0,38,1383.0,1600.7894736842106,1,17,3,17,0
2010,9.0,11.0,2.0,11,2803.0,2749.5454545454545,0,0,0,11,0
2010,16.0,17.0,3.0,9,2850.0,2612.1111111111113,0,0,1,8,0
2010,10.0,26.0,3.0,46,2721.0,2504.913043478261,1,3,2,40,0
2010,13.0,29.0,2.0,37,2651.0,2492.5135135135133,0,0,3,34,0
2010,13.0,44.0,3.0,119,2365.0,2551.4285714285716,0,0,0,119,0
2010,13.0,43.0,2.0,60,2773.0,2688.983333333333,1,0,0,59,0
2010,17.0,29.0,1.0,1012,965.0,1105.8250988142292,224,336,246,206,0
2010,8.0,27.0,1.0,187,2232.0,2205.128342245989,0,1,58,128,0
2010,3.0,15.0,13.0,78,1397.5,1406.423076923077,5,25,26,22,0
2010,7.0,5.0,1.0,35,2460.0,2453.9714285714285,0,0,4,31,0
2010,7.0,10.0,1.0,36,2431.5,2393.8888888888887,0,1,6,29,0
2010,16.0,13.0,3.0,49,2619.0,2511.714285714286,0,0,7,42,0
2010,17.0,13.0,1.0,3412,376.0,957.3801289566237,1684,624,246,852,6
2010,7.0,12.0,1.0,99,973.0,1144.080808080808,0,65,23,11,0
2010,7.0,9.0,4.0,45,2351.0,2308.4,0,0,9,36,0
2010,3.0,23.0,1.0,527,145.0,286.0189753320683,396,100,23,8,0
2010,11.0,6.0,3.0,14,1547.0,1533.357142857143,0,3,7,4,0
