state_code,dist_code,court_no,num_cases,A_count,B_count,C_count,D_count,E_count,state_name,district_name,court_name
13,27,9,8091,7815,230,30,16,0,Uttar Pradesh,Varanasi,ACJM NR
13,31,5,58835,49260,5012,3296,1267,0,Uttar Pradesh,Pratapgarh,Chief Judicial Magistrate
13,36,3,49982,43794,4978,1061,149,0,Uttar Pradesh,Barabanki,Chief Judicial Magistrate
13,38,3,13278,11512,1240,460,66,0,Uttar Pradesh,Mahoba,Chief Judicial Magistrate
13,49,3,34198,27028,5496,1357,317,0,Uttar Pradesh,Faizabad,CJM court Faizabad
13,50,3,25589,18084,3324,2238,1943,0,Uttar Pradesh,Gonda,CJM
13,64,3,11388,9634,1232,446,76,0,Uttar Pradesh,Hamirpur,Chief Judicial Magistrate
13,66,3,55460,44683,8100,1959,718,0,Uttar Pradesh,Jhansi,Chief Judicial Magistrate
13,73,4,19921,14469,2091,2800,561,0,Uttar Pradesh,Hapur,Chief Judicial Magistrate
16,17,3,3975,3139,651,160,25,0,West Bengal,Darjeeling,Chief Judicial Magistrate
16,18,3,9169,6839,1459,545,320,6,West Bengal,Purba Bardhaman,CHIEF JUDICIAL MAGISTRATE
17,14,19,4882,4404,321,135,22,0,Gujarat,SURAT,bardoli_addldj Court
17,35,1,17689,14692,1858,684,455,0,Gujarat,Valsad,valsad_district Court
17,36,1,10037,8416,1025,360,236,0,Gujarat,Porbandar,"DISTRICT AND SESSIONS COURT, PORBANDAR"
18,21,4,5105,681,1254,968,2202,0,Chhattisgarh,Surajpur,Chief Judicial Magistrate Surajpur
21,5,2,148,41,27,39,41,0,Meghalaya,Ri Bhoi,District and Sessions Judge Nongpoh
26,2,2,23331,9260,9577,2929,1565,0,Delhi,Shahdara,"Chief Metropolitan Magistrate, Shahdara, KKD"
26,3,2,23003,10273,8215,2963,1552,0,Delhi,East,"Chief Metropolitan Magistrate, East, KKD"
26,4,2,21631,11630,6305,2103,1592,1,Delhi,North,"Chief Metropolitan Magistrate, North, RHC"
26,5,2,24789,12634,8343,2309,1503,0,Delhi,North West,"Chief Metropolitan Magistrate, North-West, RHC"
26,6,2,107247,60377,41821,3953,1096,0,Delhi,South West,"Chief Metropolitan Magistrate, South-West, DWK"
26,7,2,34547,12205,15631,5017,1694,0,Delhi,New Delhi,"Chief Metropolitan Magistrate, New Delhi, PHC"
26,8,2,69901,39730,20832,6286,3051,2,Delhi,Central,"Chief Metropolitan Magistrate, Central, THC"
26,9,2,38392,18151,13766,4282,2193,0,Delhi,West,"Chief Metropolitan Magistrate, West, THC"
26,10,2,46455,29231,14052,2066,1106,0,Delhi,South,"Chief Metropolitan Magistrate, South, Saket"
26,11,2,63435,39290,16017,5820,2305,3,Delhi,South East,"Chief Metropolitan Magistrate, South-East, Saket"
29,1,25,147,5,69,48,25,0,Telangana,Adilabad,VII Addl. District and Sessions Judge Court
29,2,3,102961,58982,31304,8213,4462,0,Telangana,Hyderabad,Chief Metropolitan Magistrate
29,2,18,376,221,144,10,1,0,Telangana,Hyderabad,V ADDL. CMM
29,2,24,18612,8007,7157,2140,1308,0,Telangana,Hyderabad,X Addl Chief Metropolitan Magistrate  Secunderabad
29,7,8,232,52,68,49,63,0,Telangana,Nalgonda,V Addl District and Sessions Judge Court
