,year,state_code,dist_code,court_no,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
72,2014,1,8,8,MV,6,62.5,127.83333333333333,6,0,0,0,0
73,2014,1,8,9,MV,33,188.0,377.5151515151515,18,13,2,0,0
74,2014,1,8,10,MV,109,92.0,361.7798165137615,80,7,22,0,0
75,2014,1,9,1,MV,1024,571.5,659.314453125,290,559,165,10,0
76,2014,1,9,2,MV,16,875.5,769.875,6,8,1,1,0
77,2014,1,9,6,MV,4,141.0,176.0,3,1,0,0,0
78,2014,1,9,7,MV,2,1104.5,1104.5,0,1,1,0,0
79,2014,1,9,8,MV,9171,518.0,374.38621742449027,3822,5345,4,0,0
80,2014,1,9,9,MV,9,962.0,1067.4444444444443,0,5,4,0,0
81,2014,1,9,10,MV,43,1.0,117.51162790697674,36,7,0,0,0
82,2014,1,9,11,MV,7,506.0,444.0,2,5,0,0,0
83,2014,1,9,12,MV,1,223.0,223.0,1,0,0,0,0
84,2014,1,9,13,MV,2,123.0,123.0,2,0,0,0,0
85,2014,1,9,14,MV,2,17.0,17.0,2,0,0,0,0
86,2014,1,9,15,MV,4,662.0,582.0,1,3,0,0,0
87,2014,1,9,16,MV,13,95.0,175.69230769230768,11,2,0,0,0
88,2014,1,9,17,MV,5,308.0,674.0,3,0,2,0,0
89,2014,1,9,18,MV,35,105.0,171.45714285714286,34,1,0,0,0
90,2014,1,10,1,MV,110,927.5,894.4363636363636,16,55,39,0,0
91,2014,1,10,2,MV,23,113.0,394.04347826086956,16,3,4,0,0
92,2014,1,10,4,MV,13,702.0,642.6153846153846,3,10,0,0,0
93,2014,1,10,5,MV,11,67.0,232.36363636363637,7,4,0,0,0
94,2014,1,10,6,MV,8,36.0,139.625,7,1,0,0,0
95,2014,1,10,7,MV,130,43.0,131.3846153846154,114,12,4,0,0
96,2014,1,10,9,MV,4,1412.5,1309.5,0,1,3,0,0
97,2014,1,11,1,MV,112,10.0,24.741071428571427,109,3,0,0,0
98,2014,1,11,2,MV,1,74.0,74.0,1,0,0,0,0
99,2014,1,11,3,MV,29,958.0,919.8620689655172,3,17,9,0,0
100,2014,1,11,4,MV,23,119.0,249.65217391304347,21,0,2,0,0
101,2014,1,11,6,MV,5,315.0,453.4,3,2,0,0,0
102,2014,1,11,7,MV,4,465.0,354.25,1,3,0,0,0
103,2014,1,11,8,MV,1,104.0,104.0,1,0,0,0,0
104,2014,1,12,1,MV,133,575.0,638.0375939849624,41,67,25,0,0
105,2014,1,12,2,MV,213,5.0,11.661971830985916,212,1,0,0,0
106,2014,1,12,4,MV,33,1.0,19.606060606060606,32,1,0,0,0
107,2014,1,12,5,MV,23,18.0,23.304347826086957,23,0,0,0,0
108,2014,1,12,6,MV,201,313.0,391.547263681592,113,88,0,0,0
109,2014,1,12,7,MV,76,2.0,33.68421052631579,75,1,0,0,0
110,2014,1,12,8,MV,57,8.0,42.29824561403509,57,0,0,0,0
111,2014,1,12,9,MV,14,1.0,6.571428571428571,14,0,0,0,0
112,2014,1,12,10,MV,101,63.0,123.99009900990099,96,5,0,0,0
113,2014,1,12,11,MV,21,3.0,46.76190476190476,21,0,0,0,0
114,2014,1,13,1,MV,132,939.5,910.0833333333334,13,79,40,0,0
115,2014,1,13,2,MV,56,243.0,302.57142857142856,35,20,1,0,0
116,2014,1,13,4,MV,7,264.0,431.85714285714283,4,3,0,0,0
117,2014,1,13,5,MV,72,18.0,82.625,70,2,0,0,0
118,2014,1,13,6,MV,6,42.0,40.333333333333336,6,0,0,0,0
119,2014,1,13,7,MV,10,911.0,796.3,3,4,3,0,0
120,2014,1,13,8,MV,10,191.0,291.8,7,3,0,0,0
121,2014,1,13,9,MV,10,23.0,341.5,6,3,1,0,0
122,2014,1,13,10,MV,21,19.0,131.66666666666666,19,2,0,0,0
123,2014,1,13,11,MV,35,25.0,68.48571428571428,34,1,0,0,0
124,2014,1,13,12,MV,16,609.5,573.0625,5,10,1,0,0
125,2014,1,13,13,MV,19,580.0,642.9473684210526,4,13,2,0,0
126,2014,1,13,15,MV,5,107.0,145.8,4,1,0,0,0
127,2014,1,13,16,MV,8,92.5,104.375,8,0,0,0,0
128,2014,1,14,1,MV,184,437.0,601.1141304347826,78,77,29,0,0
129,2014,1,14,2,MV,1623,326.0,461.31053604436227,879,587,156,1,0
130,2014,1,14,4,MV,214,37.0,138.2570093457944,184,30,0,0,0
131,2014,1,14,5,MV,163,401.0,507.319018404908,76,60,27,0,0
132,2014,1,14,6,MV,46,1033.0,944.7608695652174,6,20,19,1,0
133,2014,1,14,7,MV,510,531.0,523.3,228,269,13,0,0
134,2014,1,14,8,MV,668,49.0,90.5,668,0,0,0,0
135,2014,1,14,9,MV,41,115.0,144.6829268292683,39,2,0,0,0
136,2014,1,14,10,MV,478,241.0,333.010460251046,321,132,25,0,0
137,2014,1,14,12,MV,42,875.0,853.9285714285714,9,21,11,1,0
138,2014,1,14,13,MV,8,89.0,311.25,6,1,1,0,0
139,2014,1,14,14,MV,697,38.0,117.72022955523673,634,61,2,0,0
140,2014,1,14,15,MV,433,328.0,477.3995381062356,235,146,52,0,0
141,2014,1,14,16,MV,1091,1440.0,1225.857928505958,151,184,712,44,0
142,2014,1,14,17,MV,59,681.0,799.7457627118644,17,22,19,1,0
143,2014,1,14,18,MV,658,476.0,523.7629179331307,162,493,3,0,0
144,2014,1,14,19,MV,615,50.0,179.5089430894309,538,47,29,1,0
145,2014,1,14,20,MV,508,380.0,364.84842519685037,234,274,0,0,0
146,2014,1,14,21,MV,395,147.0,260.926582278481,296,99,0,0,0
147,2014,1,14,22,MV,164,33.0,82.72560975609755,156,8,0,0,0
148,2014,1,15,2,MV,380,942.5,929.5973684210526,45,200,131,4,0
149,2014,1,15,4,MV,6,666.0,685.5,3,0,3,0,0
150,2014,1,15,5,MV,9,5.0,458.1111111111111,6,1,2,0,0
151,2014,1,15,8,MV,84,751.5,752.0714285714286,23,41,20,0,0
152,2014,1,15,10,MV,19,1.0,19.526315789473685,19,0,0,0,0
153,2014,1,15,11,MV,2,608.5,608.5,0,2,0,0,0
154,2014,1,15,12,MV,27,3.0,52.629629629629626,26,0,1,0,0
155,2014,1,15,14,MV,17,1.0,30.294117647058822,16,1,0,0,0
156,2014,1,15,15,MV,1,735.0,735.0,0,1,0,0,0
157,2014,1,15,16,MV,67,592.0,617.8955223880597,10,55,2,0,0
158,2014,1,15,17,MV,1,1332.0,1332.0,0,0,1,0,0
159,2014,1,15,18,MV,14,11.0,36.0,14,0,0,0,0
160,2014,1,15,19,MV,12,1346.0,1384.0,0,0,12,0,0
161,2014,1,15,20,MV,63,1112.0,1052.3492063492063,5,24,34,0,0
162,2014,1,15,22,MV,73,1.0,9.36986301369863,72,1,0,0,0
163,2014,1,15,23,MV,13,775.0,881.1538461538462,1,7,5,0,0
164,2014,1,17,1,MV,310,861.0,878.8193548387097,54,155,100,1,0
165,2014,1,17,2,MV,14,550.0,611.5,3,10,1,0,0
166,2014,1,17,4,MV,54,888.0,836.9629629629629,14,23,17,0,0
167,2014,1,17,6,MV,23,793.0,636.1739130434783,7,12,4,0,0
168,2014,1,17,7,MV,37,1327.0,1218.8648648648648,0,13,24,0,0
169,2014,1,17,9,MV,3,485.0,645.3333333333334,0,3,0,0,0
170,2014,1,17,10,MV,229,479.0,683.6331877729258,94,82,52,1,0
171,2014,1,17,12,MV,10,502.5,457.9,3,7,0,0,0
