year,state_code,act_family,num_cases,median_decision_days,mean_decision_days,A_count,B_count,C_count,D_count,E_count
2016,19,MV,2,555.0,555.0,0,2,0,0,0
2016,20,MV,604,459.0,485.7880794701987,236,352,16,0,0
2016,21,MV,145,145.0,248.42758620689656,102,43,0,0,0
2016,22,MV,41055,34.0,98.34000730727074,38344,2698,13,0,0
2016,23,MV,31684,303.0,353.3809178134074,17589,14006,89,0,0
2016,24,MV,156,136.0,231.23076923076923,110,46,0,0,0
2016,25,MV,141,266.0,331.92907801418437,83,58,0,0,0
2016,26,MV,6122,264.0,334.65256452139823,3737,2378,7,0,0
2016,27,MV,1053,278.0,314.1291547958215,668,385,0,0,0
2016,29,MV,5994,361.0,420.0724057390724,3027,2905,62,0,0
2016,30,MV,4163,60.0,130.66730723036272,3743,420,0,0,0
2016,31,MV,24,83.5,248.95833333333334,15,9,0,0,0
2016,32,MV,52,808.0,778.9615384615385,10,27,15,0,0
2016,33,MV,2,521.5,521.5,0,2,0,0,0
2017,1,MV,42708,72.0,167.72045050107707,34881,7807,20,0,0
2017,2,MV,8924,135.0,197.3565665620798,6962,1957,5,0,0
2017,3,MV,40550,33.0,141.3716152897657,33935,6601,14,0,0
2017,4,MV,28136,291.0,325.41455786181405,17431,10589,116,0,0
2017,5,MV,21444,88.0,143.06822421190077,19619,1821,4,0,0
2017,6,MV,53802,96.0,135.39221590275454,50397,3400,5,0,0
2017,7,MV,7612,43.0,128.87086179716238,6693,913,6,0,0
2017,8,MV,703,355.0,395.9246088193457,365,333,5,0,0
2017,9,MV,20549,236.0,288.0789332814249,13609,6818,122,0,0
2017,10,MV,53609,92.0,187.72450521367682,42115,11437,57,0,0
2017,11,MV,28662,92.0,184.54926383364733,24145,4410,107,0,0
2017,12,MV,2966,77.5,146.74241402562373,2671,295,0,0,0
2017,13,MV,250604,47.0,113.86948731863816,229476,20910,217,0,1
2017,14,MV,141869,103.0,143.28930915140023,129889,11959,21,0,0
2017,15,MV,20766,68.0,156.75040932293172,17531,3232,3,0,0
2017,16,MV,7605,181.0,261.74608809993424,5153,2425,26,0,1
2017,17,MV,21374,46.0,138.58444839524657,18818,2542,14,0,0
2017,18,MV,3107,270.0,284.2233665915674,2110,997,0,0,0
2017,20,MV,614,366.5,422.2557003257329,306,306,2,0,0
2017,21,MV,621,60.0,112.43961352657004,582,39,0,0,0
2017,22,MV,63551,24.0,67.29612437255118,61592,1951,8,0,0
2017,23,MV,31604,194.0,228.50930261992153,23837,7749,18,0,0
2017,24,MV,138,72.0,175.36231884057972,114,24,0,0,0
2017,25,MV,139,122.0,195.25899280575538,114,25,0,0,0
2017,26,MV,24725,46.0,113.68448938321536,22237,2486,2,0,0
2017,27,MV,1321,172.0,220.31718395155187,1002,319,0,0,0
2017,29,MV,5499,236.0,257.8476086561193,3911,1583,5,0,0
2017,30,MV,3229,30.0,74.79467327345928,3103,124,2,0,0
2017,31,MV,16,10.5,206.9375,13,3,0,0,0
2017,32,MV,55,674.0,596.3272727272728,9,45,1,0,0
2017,33,MV,10,360.5,500.1,5,4,1,0,0
2018,1,MV,53041,5.0,49.6806621292962,51861,1180,0,0,0
2018,2,MV,7239,5.0,58.009669843901094,7037,202,0,0,0
2018,3,MV,29698,9.0,57.214189507710955,28786,912,0,0,0
2018,4,MV,15465,208.0,247.89763983187842,11625,3840,0,0,0
2018,5,MV,30820,36.0,63.22874756651525,30462,358,0,0,0
2018,6,MV,31865,60.0,98.12232857367017,30744,1121,0,0,0
2018,7,MV,1631,15.0,71.66768853464133,1575,56,0,0,0
2018,8,MV,364,202.0,240.82417582417582,273,91,0,0,0
2018,9,MV,10308,132.0,181.2140085370586,8659,1649,0,0,0
2018,10,MV,33460,18.0,93.18699940227137,31431,2029,0,0,0
2018,11,MV,6637,124.0,160.33463914419164,5957,680,0,0,0
2018,12,MV,5005,20.0,40.945454545454545,4938,67,0,0,0
2018,13,MV,160980,19.0,68.84533482420177,154986,5994,0,0,0
2018,14,MV,100782,96.0,145.2300807683912,91142,9640,0,0,0
2018,15,MV,19652,34.0,91.05220842662324,18378,1274,0,0,0
2018,16,MV,6656,11.0,115.2734375,5887,769,0,0,0
2018,17,MV,20235,22.0,87.78388930071658,18902,1333,0,0,0
2018,18,MV,1962,122.0,144.6605504587156,1818,144,0,0,0
2018,19,MV,13,36.0,98.53846153846153,12,1,0,0,0
2018,20,MV,336,373.0,371.125,157,179,0,0,0
2018,21,MV,328,55.5,87.35670731707317,321,7,0,0,0
2018,22,MV,35015,21.0,53.435356275881766,34151,864,0,0,0
2018,23,MV,13965,89.0,137.60358037952022,12807,1158,0,0,0
2018,24,MV,63,47.0,109.65079365079364,60,3,0,0,0
2018,25,MV,106,11.0,65.18867924528301,104,2,0,0,0
2018,26,MV,12195,32.0,67.85239852398524,12010,185,0,0,0
2018,27,MV,605,62.0,121.89917355371901,561,44,0,0,0
2018,29,MV,3048,68.0,125.3500656167979,2829,219,0,0,0
2018,30,MV,4175,32.0,56.46131736526946,4135,40,0,0,0
2018,31,MV,295,10.0,26.952542372881357,292,3,0,0,0
2018,32,MV,47,255.0,222.31914893617022,39,8,0,0,0
2018,33,MV,9,260.0,241.88888888888889,9,0,0,0,0
