state_code,dist_code,court_no
1,1,3
1,1,7
1,2,1
1,3,2
1,3,5
1,4,1
1,5,5
1,5,1
1,7,1
1,7,6
1,8,1
1,9,1
1,4,9
1,10,1
1,13,13
14,8,1
14,13,1
14,14,1
14,15,1
14,17,1
16,2,3
16,4,2
18,15,1
6,20,8
20,2,6
20,3,9
20,5,2
22,3,1
22,16,1
24,4,2
