,state_code,dist_code,court_no,median,mean,case_count
2124,8.0,2.0,2.0,1804.0,1849.5858369098712,690.0
2125,8.0,2.0,3.0,2073.0,2098.801996672213,2246.0
2126,8.0,2.0,4.0,1860.0,1939.320634920635,536.0
2127,8.0,3.0,2.0,2058.0,2070.05415860735,785.0
2128,8.0,3.0,3.0,2723.5,2578.721579961464,2733.0
2129,8.0,3.0,4.0,1938.0,2010.7748344370862,299.0
2130,8.0,3.0,5.0,2995.0,2731.5833333333335,69.0
2131,8.0,3.0,6.0,2618.0,2419.2775330396476,527.0
2132,8.0,3.0,7.0,2601.5,2446.913043478261,114.0
2133,8.0,3.0,8.0,1601.5,1817.0142857142857,165.0
2134,8.0,3.0,9.0,2849.0,2636.326984126984,1408.0
2135,8.0,3.0,10.0,2564.5,2479.1666666666665,173.0
2136,8.0,3.0,12.0,3153.0,3153.0,13.0
2137,8.0,4.0,2.0,1948.0,2071.371084337349,878.0
2138,8.0,4.0,3.0,1875.5,1976.2331460674156,865.0
2139,8.0,4.0,4.0,2456.0,2370.734337827121,1263.0
2140,8.0,4.0,5.0,3259.0,3246.3333333333335,6.0
2141,8.0,5.0,2.0,3519.0,3519.0,60.0
2142,8.0,5.0,3.0,1673.0,1883.1823647294589,746.0
2143,8.0,5.0,4.0,1905.0,2126.554275318375,3371.0
2144,8.0,5.0,5.0,2153.0,2220.4267515923566,329.0
2145,8.0,6.0,2.0,2116.0,2122.3545611015493,1092.0
2146,8.0,6.0,3.0,2238.0,2215.4775794514585,3771.0
2147,8.0,6.0,4.0,2189.5,2143.714285714286,370.0
2148,8.0,6.0,5.0,1864.0,1898.0,3.0
2149,8.0,6.0,6.0,2450.5,2555.340909090909,100.0
2150,8.0,6.0,7.0,2061.5,2117.5,8.0
2151,8.0,6.0,8.0,3432.0,3340.1666666666665,6.0
2152,8.0,6.0,11.0,3309.0,3299.6304347826085,46.0
2153,8.0,6.0,12.0,3340.0,3313.2,5.0
2154,8.0,6.0,13.0,3415.0,3374.125,8.0
2155,8.0,6.0,14.0,3160.0,3160.0,1.0
2156,8.0,7.0,2.0,1934.5,1964.7594339622642,418.0
2157,8.0,7.0,3.0,1916.0,2009.8087912087913,1787.0
2158,8.0,7.0,4.0,1627.0,1897.1971830985915,71.0
2159,8.0,9.0,1.0,3245.0,3237.9166666666665,12.0
2160,8.0,9.0,2.0,1769.0,1938.6226012793177,773.0
2161,8.0,9.0,3.0,2568.0,2357.575425123423,3717.0
2162,8.0,9.0,4.0,2055.0,2051.6835443037976,261.0
2163,8.0,9.0,5.0,3153.0,3225.1111111111113,9.0
2164,8.0,9.0,8.0,3394.0,3397.516129032258,31.0
2165,8.0,9.0,9.0,3325.0,3325.0,2.0
2166,8.0,10.0,1.0,2409.5,2394.9791666666665,619.0
2167,8.0,10.0,2.0,2385.0,2331.078787878788,601.0
2168,8.0,10.0,3.0,2853.0,2636.9795291709315,3348.0
2169,8.0,10.0,4.0,3267.0,3301.478260869565,23.0
2170,8.0,10.0,5.0,3221.0,3246.176470588235,17.0
2171,8.0,10.0,6.0,3238.5,3247.75,16.0
2172,8.0,10.0,7.0,3319.0,3323.25,4.0
2173,8.0,11.0,1.0,1832.5,1967.0454545454545,467.0
