act,section,criminal
17353.0,123918.0,144
17353.0,578936.0,145
17353.0,681693.0,151
17353.0,495711.0,155
17353.0,1140260.0,156
17353.0,572840.0,158
17353.0,525108.0,163
17353.0,853596.0,170
17353.0,985574.0,175
17353.0,908484.0,176
17353.0,1052756.0,176
17353.0,1134687.0,177
17353.0,572441.0,180
17353.0,863071.0,180
17353.0,601070.0,184
17353.0,789807.0,187
17353.0,951210.0,187
17353.0,1277518.0,188
17353.0,332490.0,190
17353.0,924473.0,191
17353.0,61282.0,191
17353.0,964592.0,193
17353.0,1357832.0,194
17353.0,531731.0,200
17353.0,696469.0,201
17353.0,681165.0,203
17353.0,863354.0,205
17353.0,567300.0,207
17353.0,1109389.0,208
17353.0,1126060.0,225
17353.0,1051392.0,227
17353.0,104228.0,235
17353.0,579518.0,237
17353.0,161236.0,242
17353.0,1005062.0,247
17353.0,1138577.0,248
17353.0,1086069.0,257
17353.0,207254.0,264
17353.0,1137110.0,275
17353.0,407652.0,275
17353.0,605211.0,279
17353.0,533349.0,281
17353.0,700387.0,283
17353.0,32072.0,284
17353.0,1080133.0,285
17353.0,1021888.0,287
17353.0,1134835.0,287
17353.0,984163.0,293
17353.0,362778.0,301
17353.0,1229977.0,302
17353.0,1092320.0,307
17353.0,1043899.0,310
17353.0,1054542.0,312
17353.0,1051568.0,313
17353.0,1220641.0,329
17353.0,643869.0,333
17353.0,119679.0,339
17353.0,1185715.0,346
17353.0,645121.0,348
17353.0,495053.0,364
17353.0,1036711.0,368
17353.0,554742.0,372
17353.0,572219.0,378
17353.0,1131787.0,379
17353.0,601893.0,388
17353.0,1123362.0,391
17353.0,899895.0,396
17353.0,927788.0,428
17353.0,647070.0,429
17353.0,246450.0,430
17353.0,852505.0,431
17353.0,1036336.0,477
17353.0,953425.0,484
17353.0,1109818.0,503
17353.0,782676.0,592
17353.0,939076.0,616
17353.0,1009073.0,627
17353.0,346196.0,645
17353.0,981688.0,658
17353.0,985028.0,677
17353.0,132871.0,681
17353.0,81165.0,694
17353.0,783904.0,713
17353.0,687064.0,748
17353.0,1175424.0,808
17353.0,586793.0,821
17353.0,1134445.0,839
17353.0,1092756.0,839
17353.0,984359.0,865
17353.0,1051821.0,916
17353.0,1044137.0,924
17353.0,1010747.0,931
17353.0,1088303.0,973
17353.0,1100812.0,974
17353.0,1088730.0,981
17353.0,937341.0,990
17353.0,467753.0,1000
17353.0,1082884.0,1005
17353.0,1087311.0,1018
17353.0,1185824.0,1049
17353.0,341477.0,1050
17353.0,213800.0,1094
17353.0,208293.0,1117
17353.0,982779.0,1168
17353.0,1130075.0,1196
17353.0,1086744.0,1214
17353.0,981210.0,1227
17353.0,1123673.0,1228
17353.0,1138979.0,1257
17353.0,852282.0,1316
17353.0,861531.0,1497
17353.0,680321.0,1657
17353.0,878544.0,1658
17353.0,909444.0,1697
17353.0,868951.0,1793
17353.0,1122378.0,2263
17353.0,954558.0,2338
17353.0,1005381.0,2364
17353.0,1044684.0,2470
17353.0,1190695.0,2477
17353.0,1007139.0,2687
17353.0,772362.0,2792
17353.0,273193.0,2999
17353.0,1050340.0,3022
17353.0,687680.0,3356
17353.0,1002189.0,3725
17353.0,469716.0,3946
17353.0,1037477.0,4206
17353.0,940277.0,4523
17353.0,311257.0,4973
17353.0,686585.0,5211
17353.0,864508.0,5282
17353.0,850110.0,5517
17353.0,911782.0,5664
17353.0,1111430.0,6157
17353.0,1129211.0,6294
17353.0,1080363.0,7426
17353.0,762473.0,8071
17353.0,773491.0,10631
17353.0,979193.0,11949
17353.0,847459.0,13247
17353.0,1140567.0,13710
17353.0,797484.0,15385
17353.0,1064270.0,16771
17353.0,1176149.0,19139
17353.0,768685.0,25351
17353.0,841964.0,25378
17353.0,647330.0,26096
17353.0,865403.0,26400
17353.0,965693.0,36321
17353.0,1182576.0,43750
