,year,state_code,duration_A,duration_B,duration_C,duration_D,duration_E,duration_A_fraction,duration_B_fraction,duration_C_fraction,duration_D_fraction,duration_E_fraction
0,2010,3,159248,174201,65099,40632,20084,0.34674609810479373,0.37930471362876256,0.14174635939241917,0.08847198996655518,0.043730838907469344
1,2011,3,246585,190002,65827,38954,28233,0.43290829896717176,0.3335703413442041,0.11556686171548154,0.06838822263303611,0.0495662753401065
2,2012,3,336048,178338,63781,66991,6412,0.5157511855978636,0.2737050508771122,0.09788817778596313,0.10281473978237181,0.009840845956689227
3,2013,3,419139,197336,71812,83697,0,0.542937418392091,0.2556218781736409,0.09302265331923977,0.1084180501150283,0.0
4,2014,3,469811,182232,77119,101119,0,0.5658457799227009,0.21948231984111402,0.09288301189597256,0.12178888834021254,0.0
5,2015,3,456181,191774,44446,139193,0,0.5485621589381356,0.23061012946221354,0.053446754065084645,0.16738095753456614,0.0
6,2016,3,482390,178706,3515,208443,0,0.5525316876161154,0.2046906606006043,0.004026096896640987,0.23875155488663932,0.0
7,2017,3,500863,97954,246555,44550,0,0.5628167412424909,0.11007032076968544,0.27705237088194246,0.05006056710588119,0.0
8,2018,3,436096,25539,437135,0,0,0.48521423723533275,0.028415501184952768,0.4863702615797145,0.0,0.0
