,year,state_code,dist_code,num_instituted,num_disposed,num_disposed_from_instituted,clearance_rate,pending_count
92,2013,3,1,41657,-1,21653,0.38433412023642594,34686
93,2013,3,2,17213,-1,9906,0.48673349056603776,10446
94,2013,3,20,139047,-1,73832,0.43945787973120165,94175
95,2013,3,21,26992,-1,18322,0.38777540265402444,28927
96,2013,3,12,31098,-1,19055,0.5687720136111277,14447
97,2013,3,5,17145,-1,11060,0.5103830179972312,10610
98,2013,3,27,10089,-1,6390,0.47445797445797444,7078
99,2013,3,29,10372,-1,6098,0.43644431720584026,7874
100,2013,3,17,16300,-1,10047,0.5170071527813513,9386
101,2013,3,13,18359,-1,10811,0.5569809376609994,8599
102,2013,3,24,9043,-1,6684,0.4004553352105925,10007
103,2013,3,14,20262,-1,12570,0.5199801439563168,11604
104,2013,3,9,21830,-1,14148,0.5049250535331906,13872
105,2013,3,8,7342,-1,4543,0.5175438596491229,4235
106,2013,3,23,38537,-1,25129,0.5168342897102075,23492
107,2013,3,11,17834,-1,10603,0.4884824472496084,11103
108,2013,3,25,10925,-1,7900,0.6280308450592257,4679
109,2013,3,19,18451,-1,11617,0.49205811343131856,11992
110,2013,3,7,9899,-1,6747,0.5279755849440488,6032
111,2013,3,22,26606,-1,14181,0.4121425249941874,20227
112,2013,3,26,32762,-1,15320,0.3494206732962321,28524
113,2013,3,6,15463,-1,9002,0.48955840765716774,9386
114,2013,3,28,11261,-1,6697,0.4259636178603231,9025
115,2013,3,15,34309,-1,19462,0.5280408063597146,17395
116,2013,3,18,35358,-1,23958,0.5704829031336318,18038
117,2013,3,16,18803,-1,12925,0.6308878801190999,7562
118,2013,3,10,19213,-1,12033,0.5605347743047469,9434
119,2013,3,30,4542,-1,2770,0.46703759905580844,3161
120,2014,3,3,20040,-1,11506,0.48861899099711226,12042
121,2014,3,4,24731,-1,14346,0.5307632542824374,12683
122,2014,3,1,56631,-1,28111,0.4647521740568065,32375
123,2014,3,2,22642,-1,13774,0.5367051122194514,11890
124,2014,3,20,192594,-1,106746,0.5326779610269717,93649
125,2014,3,21,43542,-1,25054,0.52206709731194,22936
126,2014,3,12,32089,-1,21234,0.5773717268945264,15543
127,2014,3,5,21619,-1,15119,0.5739721346949622,11222
128,2014,3,27,12644,-1,7916,0.5191841017905162,7331
129,2014,3,29,12536,-1,6884,0.44756517781678695,8497
130,2014,3,17,17410,-1,10582,0.5189798921039726,9808
131,2014,3,13,18298,-1,10739,0.5206283027100402,9888
132,2014,3,24,15987,-1,10607,0.394121799873667,16306
133,2014,3,14,25572,-1,14712,0.5478717461736119,12141
134,2014,3,9,31229,-1,20397,0.6227711284807035,12355
135,2014,3,8,8121,-1,4846,0.557780847145488,3842
136,2014,3,23,68323,-1,47071,0.7018713188697532,19994
137,2014,3,11,20938,-1,13217,0.5592840216655383,10415
138,2014,3,25,9156,-1,6098,0.5449021535162184,5093
139,2014,3,19,20379,-1,12481,0.5288335240032203,11120
140,2014,3,7,9144,-1,5963,0.4500037733001283,7288
141,2014,3,22,32948,-1,17669,0.47975779956012926,19160
142,2014,3,26,43049,-1,21773,0.40802443686518497,31589
143,2014,3,6,20733,-1,12807,0.49622224805300474,13002
144,2014,3,28,15915,-1,8852,0.44220201818363475,11166
145,2014,3,15,35999,-1,25576,0.6028805129293072,16847
146,2014,3,18,39720,-1,27100,0.5795923605021708,19657
147,2014,3,16,17837,-1,12758,0.6288136428606634,7531
148,2014,3,10,20083,-1,11888,0.5409537677466327,10088
149,2014,3,30,7092,-1,4950,0.6068407502758367,3207
150,2015,3,3,21956,-1,12844,0.5333887043189369,11236
151,2015,3,4,28216,-1,17916,0.585605020592273,12678
152,2015,3,1,55061,-1,27429,0.42655200298581736,36875
153,2015,3,2,19528,-1,11751,0.5234764789736279,10697
154,2015,3,20,220348,-1,139748,0.6130535107960378,88206
155,2015,3,21,35755,-1,23245,0.4616408158401684,27108
156,2015,3,12,35754,-1,22327,0.594720579617495,15215
157,2015,3,5,23534,-1,16387,0.5322701140091597,14400
158,2015,3,27,13695,-1,7829,0.5440961845854472,6560
159,2015,3,29,13959,-1,7446,0.40721903199343723,10839
160,2015,3,17,19168,-1,10516,0.5225081983503925,9610
161,2015,3,13,19321,-1,10448,0.5129866941621251,9919
162,2015,3,24,34209,-1,21800,0.5562075827932846,17394
163,2015,3,14,25013,-1,15289,0.5724930727177413,11417
164,2015,3,9,33622,-1,21161,0.5981569946575459,14216
165,2015,3,8,7553,-1,4394,0.5204927742241175,4048
166,2015,3,23,51753,-1,34967,0.6366897305171159,19953
167,2015,3,11,22356,-1,13460,0.5621919639127892,10482
168,2015,3,25,11037,-1,6579,0.5632223268555774,5102
169,2015,3,19,18132,-1,9825,0.49424015292519746,10054
170,2015,3,7,14445,-1,7373,0.4907808027690874,7650
171,2015,3,22,30812,-1,16205,0.4679874086695353,18422
172,2015,3,26,40825,-1,18220,0.3476502127497186,34189
173,2015,3,6,19298,-1,10959,0.507055938555499,10654
174,2015,3,28,11916,-1,6475,0.40882687207980806,9363
175,2015,3,15,35738,-1,22381,0.5550017358527997,17945
176,2015,3,18,39045,-1,25751,0.5642076203413597,19890
177,2015,3,16,26694,-1,20217,0.7424804436446436,7012
178,2015,3,10,20886,-1,11365,0.549378836950742,9322
179,2015,3,30,7459,-1,4980,0.5614430665163472,3890
180,2016,3,3,20848,-1,12735,0.4934516429014259,13073
181,2016,3,4,28466,-1,17909,0.5779706964435551,13077
182,2016,3,1,57246,-1,28458,0.43525741029641185,36924
183,2016,3,2,20250,-1,11423,0.5217411162875674,10471
184,2016,3,20,207539,-1,137105,0.5807048678319872,98996
185,2016,3,21,36999,-1,24351,0.4538101716394268,29308
186,2016,3,12,35298,-1,23580,0.5917189460476788,16270
